step	loss	loss_ma200	lr	ts	t_mean	drop_ratio	black_ratio	latent_mean	latent_std	t_bucket
100	0.1724281907081604	0.30582735911011694	5e-06	1772550035	430.75	0.5	0.0	0.09966631978750229	0.8677965998649597	3
200	0.19048598408699036	0.23893111709505319	5e-06	1772550045	604.25	0.0	0.0	0.09966631978750229	0.8677965998649597	5
300	0.149032860994339	0.16106176279485226	5e-06	1772550055	480.75	0.0	0.0	0.09966631978750229	0.8677965998649597	4
400	0.14931659400463104	0.14104946598410606	5e-06	1772550065	551.0	0.0	0.0	0.09966631978750229	0.8677965998649597	5
500	0.05550297349691391	0.12587401635944842	5e-06	1772550075	207.25	0.0	0.0	0.09966631978750229	0.8677965998649597	1
600	0.07286421954631805	0.11655047036707401	5e-06	1772550085	341.0	0.0	0.0	0.09966631978750229	0.8677965998649597	2
700	0.03578127548098564	0.10591088596731424	5e-06	1772550096	130.75	0.0	0.0	0.09966631978750229	0.8677965998649597	1
800	0.08809968084096909	0.09264814065769315	5e-06	1772550106	535.25	0.0	0.0	0.09966631978750229	0.8677965998649597	5
900	0.08212512731552124	0.08594067910686136	5e-06	1772550116	501.0	0.0	0.0	0.09966631978750229	0.8677965998649597	4
1000	0.06784480810165405	0.08172737751156092	5e-06	1772550126	419.25	0.0	0.0	0.09966631978750229	0.8677965998649597	3
1100	0.06017739325761795	0.07437607308849692	5e-06	1772550136	639.5	0.25	0.0	0.09966631978750229	0.8677965998649597	5
1200	0.10882662236690521	0.0684867093153298	5e-06	1772550146	550.5	0.25	0.0	0.09966631978750229	0.8677965998649597	4
1300	0.054202329367399216	0.06419612131081522	5e-06	1772550157	588.5	0.0	0.0	0.09966631978750229	0.8677965998649597	5
1400	0.05407899618148804	0.06081015422008931	5e-06	1772550167	405.0	0.0	0.0	0.09966631978750229	0.8677965998649597	3
1500	0.04594786465167999	0.0555392942391336	5e-06	1772550177	480.5	0.0	0.0	0.09966631978750229	0.8677965998649597	4
1600	0.042563583701848984	0.05203591193072498	5e-06	1772550187	416.5	0.0	0.0	0.09966631978750229	0.8677965998649597	3
1700	0.03751031309366226	0.049639525339007375	5e-06	1772550197	513.0	0.0	0.0	0.09966631978750229	0.8677965998649597	4
1800	0.023451725021004677	0.04369942212477326	5e-06	1772550207	290.0	0.25	0.0	0.09966631978750229	0.8677965998649597	2
1900	0.02577888034284115	0.04049795371480286	5e-06	1772550218	452.25	0.0	0.0	0.09966631978750229	0.8677965998649597	4
2000	0.02913489006459713	0.03625538977328688	5e-06	1772550228	502.0	0.0	0.0	0.09966631978750229	0.8677965998649597	4
