step	loss	loss_ma200	lr	ts	t_mean	drop_ratio	black_ratio	latent_mean	latent_std	t_bucket
50	0.2650323510169983	0.40424666702747347	5e-06	1772547484	588.0	0.0	0.0	0.09966631978750229	0.8677965998649597	5
100	0.1734764575958252	0.3009322701394558	5e-06	1772547489	431.5	0.0	0.0	0.09966631978750229	0.8677965998649597	4
150	0.15853551030158997	0.25783511996269226	5e-06	1772547494	430.75	0.0	0.0	0.09966631978750229	0.8677965998649597	3
200	0.1948876678943634	0.23338953778147697	5e-06	1772547499	562.75	0.0	0.0	0.09966631978750229	0.8677965998649597	5
250	0.16465625166893005	0.17019615903496743	5e-06	1772547505	594.25	0.0	0.0	0.09966631978750229	0.8677965998649597	5
300	0.17431098222732544	0.1579049228876829	5e-06	1772547510	604.25	0.0	0.0	0.09966631978750229	0.8677965998649597	5
350	0.14376989006996155	0.14990932893007994	5e-06	1772547515	587.25	0.0	0.0	0.09966631978750229	0.8677965998649597	5
400	0.07593540847301483	0.14166206132620573	5e-06	1772547520	210.75	0.0	0.0	0.09966631978750229	0.8677965998649597	1
450	0.1332090198993683	0.13622303245589137	5e-06	1772547525	480.75	0.0	0.0	0.09966631978750229	0.8677965998649597	4
500	0.13483741879463196	0.12705790307372808	5e-06	1772547530	617.25	0.0	0.0	0.09966631978750229	0.8677965998649597	5
550	0.128960520029068	0.12267466567456722	5e-06	1772547535	589.0	0.0	0.0	0.09966631978750229	0.8677965998649597	5
600	0.11017683148384094	0.11666532875970007	5e-06	1772547540	551.0	0.0	0.0	0.09966631978750229	0.8677965998649597	5
650	0.10366653650999069	0.10841550579294562	5e-06	1772547545	548.5	0.0	0.0	0.09966631978750229	0.8677965998649597	5
700	0.10038774460554123	0.10222311893478037	5e-06	1772547550	630.0	0.0	0.0	0.09966631978750229	0.8677965998649597	5
750	0.04220804572105408	0.09313482528552414	5e-06	1772547555	207.25	0.0	0.0	0.09966631978750229	0.8677965998649597	1
800	0.04466452822089195	0.08947298867627979	5e-06	1772547561	289.0	0.0	0.0	0.09966631978750229	0.8677965998649597	2
850	0.09948655962944031	0.08588262313976884	5e-06	1772547566	736.25	0.0	0.0	0.09966631978750229	0.8677965998649597	7
900	0.05637161433696747	0.08395023001357912	5e-06	1772547571	341.0	0.0	0.0	0.09966631978750229	0.8677965998649597	2
950	0.05162433534860611	0.080668019708246	5e-06	1772547576	338.25	0.0	0.0	0.09966631978750229	0.8677965998649597	2
1000	0.06278197467327118	0.07674507159739732	5e-06	1772547581	358.25	0.0	0.0	0.09966631978750229	0.8677965998649597	3
1050	0.025372201576828957	0.07226704908534884	5e-06	1772547586	130.75	0.0	0.0	0.09966631978750229	0.8677965998649597	1
1100	0.07867105305194855	0.06806881899014115	5e-06	1772547591	650.5	0.0	0.0	0.09966631978750229	0.8677965998649597	6
1150	0.10084052383899689	0.0657333928346634	5e-06	1772547596	520.75	0.0	0.0	0.09966631978750229	0.8677965998649597	4
1200	0.06466670334339142	0.06250728348270058	5e-06	1772547601	535.25	0.0	0.0	0.09966631978750229	0.8677965998649597	5
1250	0.07686488330364227	0.06157968292012811	5e-06	1772547606	708.5	0.0	0.0	0.09966631978750229	0.8677965998649597	6
1300	0.06036189943552017	0.060305198468267915	5e-06	1772547611	502.75	0.0	0.0	0.09966631978750229	0.8677965998649597	4
1350	0.057559046894311905	0.05918896953575313	5e-06	1772547617	501.0	0.0	0.0	0.09966631978750229	0.8677965998649597	4
1400	0.019116366282105446	0.057699850285425784	5e-06	1772547622	84.5	0.0	0.0	0.09966631978750229	0.8677965998649597	0
1450	0.0378139466047287	0.055892077684402464	5e-06	1772547627	357.5	0.0	0.0	0.09966631978750229	0.8677965998649597	3
1500	0.042647697031497955	0.05336852117441595	5e-06	1772547632	419.25	0.0	0.0	0.09966631978750229	0.8677965998649597	3
1550	0.02522655576467514	0.053520263470709324	5e-06	1772547637	375.0	0.0	0.0	0.09966631978750229	0.8677965998649597	3
1600	0.03597159683704376	0.0501515650562942	5e-06	1772547642	334.0	0.0	0.0	0.09966631978750229	0.8677965998649597	2
1650	0.03180324286222458	0.04646702004596591	5e-06	1772547647	639.5	0.0	0.0	0.09966631978750229	0.8677965998649597	5
1700	0.024852503091096878	0.04361581024713814	5e-06	1772547652	549.0	0.0	0.0	0.09966631978750229	0.8677965998649597	5
1750	0.03016558289527893	0.03780028976500034	5e-06	1772547657	456.5	0.0	0.0	0.09966631978750229	0.8677965998649597	4
1800	0.032475315034389496	0.03633103611879051	5e-06	1772547662	550.5	0.0	0.0	0.09966631978750229	0.8677965998649597	4
1850	0.030988289043307304	0.03364702845923603	5e-06	1772547668	441.0	0.0	0.0	0.09966631978750229	0.8677965998649597	3
1900	0.01749773696064949	0.035241473503410815	5e-06	1772547673	280.0	0.0	0.0	0.09966631978750229	0.8677965998649597	2
1950	0.023069262504577637	0.03383604908827692	5e-06	1772547678	588.5	0.0	0.0	0.09966631978750229	0.8677965998649597	5
2000	0.02265089377760887	0.03246456627268344	5e-06	1772547683	498.25	0.0	0.0	0.09966631978750229	0.8677965998649597	4
2050	0.012100780382752419	0.03187917576637119	5e-06	1772547688	261.25	0.0	0.0	0.09966631978750229	0.8677965998649597	2
2100	0.021907366812229156	0.028656906578689814	5e-06	1772547693	405.0	0.0	0.0	0.09966631978750229	0.8677965998649597	3
2150	0.02395780198276043	0.026912059029564263	5e-06	1772547698	626.0	0.0	0.0	0.09966631978750229	0.8677965998649597	5
2200	0.019817806780338287	0.0248289608117193	5e-06	1772547703	539.25	0.0	0.0	0.09966631978750229	0.8677965998649597	4
2250	0.015571033582091331	0.024691329626366495	5e-06	1772547709	480.5	0.0	0.0	0.09966631978750229	0.8677965998649597	4
