step	loss	lr	ts
50	1.0541433095932007	5.000000000000001e-07	1765808021
100	0.9984416961669922	1.0000000000000002e-06	1765808026
150	0.870341420173645	1.5e-06	1765808031
200	0.744215726852417	2.0000000000000003e-06	1765808036
250	0.6651183366775513	2.5e-06	1765808041
300	0.4870721697807312	3e-06	1765808047
350	0.37063729763031006	3.5e-06	1765808052
400	0.31231027841567993	4.000000000000001e-06	1765808057
450	0.3409702777862549	4.5e-06	1765808062
500	0.49682384729385376	5e-06	1765808067
550	0.15546992421150208	5.500000000000001e-06	1765808072
600	0.2616783082485199	6e-06	1765808077
650	0.19294138252735138	6.5000000000000004e-06	1765808082
700	0.6334350109100342	7e-06	1765808087
750	0.14558815956115723	7.500000000000001e-06	1765808092
800	0.181369811296463	8.000000000000001e-06	1765808097
850	0.19894829392433167	8.5e-06	1765808103
900	0.2457946240901947	9e-06	1765808108
950	0.14153596758842468	9.5e-06	1765808113
1000	0.2320171594619751	1e-05	1765808118
1050	0.07931776344776154	9.996145181203616e-06	1765808123
1100	0.14386606216430664	9.984586668665641e-06	1765808128
1150	0.28562694787979126	9.965342284774633e-06	1765808133
1200	0.15211504697799683	9.938441702975689e-06	1765808138
1250	0.1896534562110901	9.903926402016153e-06	1765808144
1300	0.10058541595935822	9.861849601988384e-06	1765808149
1350	0.21513782441616058	9.812276182268236e-06	1765808154
1400	0.3271200656890869	9.755282581475769e-06	1765808159
1450	0.16098955273628235	9.690956679612422e-06	1765808164
1500	0.1453859806060791	9.619397662556434e-06	1765808169
1550	0.19370195269584656	9.540715869125407e-06	1765808174
1600	0.1947520673274994	9.45503262094184e-06	1765808179
1650	0.12160168588161469	9.362480035363987e-06	1765808185
1700	0.17708204686641693	9.263200821770462e-06	1765808190
1750	0.12352252751588821	9.157348061512728e-06	1765808194
1800	0.2345699965953827	9.045084971874738e-06	1765808199
1850	0.19009730219841003	8.926584654403725e-06	1765808204
1900	0.1173657700419426	8.802029828000157e-06	1765808209
1950	0.0869986042380333	8.671612547178428e-06	1765808214
2000	0.2305581271648407	8.535533905932739e-06	1765808219
2050	0.10129162669181824	8.39400372766471e-06	1765808225
2100	0.0724358782172203	8.247240241650918e-06	1765808230
2150	0.10437473654747009	8.095469746549172e-06	1765808235
2200	0.1709916740655899	7.938926261462366e-06	1765808240
2250	0.04098585247993469	7.777851165098012e-06	1765808245
2300	0.05269172042608261	7.612492823579744e-06	1765808250
2350	0.19212882220745087	7.443106207484776e-06	1765808255
2400	0.12576261162757874	7.269952498697734e-06	1765808260
2450	0.05817189812660217	7.093298687687141e-06	1765808266
2500	0.07649651169776917	6.913417161825449e-06	1765808271
2550	0.1226549744606018	6.730585285387465e-06	1765808276
2600	0.06764544546604156	6.545084971874738e-06	1765808281
2650	0.1794717013835907	6.3572022493253715e-06	1765808286
2700	0.12191428989171982	6.1672268192795285e-06	1765808291
2750	0.11552399396896362	5.975451610080643e-06	1765808296
2800	0.0433209165930748	5.782172325201155e-06	1765808301
2850	0.0781627744436264	5.587686987289189e-06	1765808306
2900	0.0687779039144516	5.392295478639226e-06	1765808311
2950	0.03349703550338745	5.1962990787953436e-06	1765808316
3000	0.16095438599586487	5e-06	1765808321
3050	0.13590991497039795	4.803700921204659e-06	1765808327
3100	0.24503520131111145	4.6077045213607765e-06	1765808332
3150	0.1870301365852356	4.4123130127108125e-06	1765808336
3200	0.09937302023172379	4.217827674798845e-06	1765808341
3250	0.31424564123153687	4.02454838991936e-06	1765808347
3300	0.09859485179185867	3.832773180720475e-06	1765808352
3350	0.053004130721092224	3.6427977506746293e-06	1765808357
3400	0.41134318709373474	3.4549150281252635e-06	1765808362
3450	0.22702279686927795	3.269414714612534e-06	1765808367
3500	0.18951350450515747	3.0865828381745515e-06	1765808372
3550	0.19810336828231812	2.906701312312861e-06	1765808377
3600	0.14486414194107056	2.7300475013022666e-06	1765808382
3650	0.3104727864265442	2.5568937925152272e-06	1765808388
3700	0.1462906301021576	2.387507176420256e-06	1765808393
3750	0.08763812482357025	2.2221488349019903e-06	1765808398
3800	0.03526267409324646	2.061073738537635e-06	1765808403
3850	0.174626886844635	1.9045302534508298e-06	1765808408
3900	0.19891992211341858	1.7527597583490825e-06	1765808413
3950	0.24953827261924744	1.6059962723352912e-06	1765808418
4000	0.03810782730579376	1.4644660940672628e-06	1765808423
4050	0.105234295129776	1.3283874528215735e-06	1765808428
4100	0.12334858626127243	1.1979701719998454e-06	1765808434
4150	0.14165878295898438	1.0734153455962765e-06	1765808439
4200	0.323073148727417	9.549150281252633e-07	1765808444
4250	0.13511468470096588	8.426519384872733e-07	1765808449
4300	0.015140595845878124	7.367991782295392e-07	1765808454
4350	0.016693763434886932	6.375199646360142e-07	1765808459
4400	0.06520654261112213	5.449673790581611e-07	1765808464
4450	0.033895961940288544	4.5928413087459325e-07	1765808469
4500	0.22201135754585266	3.8060233744356634e-07	1765808474
4550	0.11009383201599121	3.0904332038757977e-07	1765808479
4600	0.15692128241062164	2.447174185242324e-07	1765808484
4650	0.051383618265390396	1.8772381773176417e-07	1765808489
4700	0.07790244370698929	1.3815039801161723e-07	1765808494
4750	0.11614774167537689	9.607359798384785e-08	1765808499
4800	0.08553560078144073	6.15582970243117e-08	1765808504
4850	0.1449822187423706	3.465771522536854e-08	1765808509
4900	0.024408463388681412	1.541333133436018e-08	1765808515
4950	0.028237514197826385	3.854818796385495e-09	1765808520
5000	0.16023704409599304	0.0	1765808525
