step	loss	lr	ts
50	0.24577242136001587	1e-05	1767094634
100	0.22381223738193512	1e-05	1767094639
150	0.2458096146583557	1e-05	1767094644
200	0.10950985550880432	1e-05	1767094650
250	0.1926407814025879	1e-05	1767094655
300	0.15034683048725128	1e-05	1767094660
350	0.16510777175426483	1e-05	1767094666
400	0.09793087840080261	1e-05	1767094671
450	0.07348969578742981	1e-05	1767094676
500	0.09537826478481293	1e-05	1767094681
550	0.11799324303865433	1e-05	1767094686
600	0.08538796007633209	1e-05	1767094692
650	0.06307351589202881	1e-05	1767094697
700	0.022603146731853485	1e-05	1767094702
750	0.05465158820152283	1e-05	1767094707
800	0.03381422162055969	1e-05	1767094713
850	0.05197248235344887	1e-05	1767094718
900	0.04339113458991051	1e-05	1767094724
950	0.021125052124261856	1e-05	1767094729
1000	0.026885071769356728	1e-05	1767094734
1050	0.01749476231634617	1e-05	1767094739
1100	0.022528905421495438	1e-05	1767094744
1150	0.01976999267935753	1e-05	1767094750
1200	0.016209442168474197	1e-05	1767094755
1250	0.014287430793046951	1e-05	1767094760
1300	0.012960957363247871	1e-05	1767094766
1350	0.006664532236754894	1e-05	1767094771
1400	0.011503035202622414	1e-05	1767094777
1450	0.013581722974777222	1e-05	1767094782
1500	0.012393846176564693	1e-05	1767094787
1550	0.0070863403379917145	1e-05	1767094792
1600	0.00765996752306819	1e-05	1767094798
1650	0.03334712237119675	1e-05	1767094803
1700	0.008283890783786774	1e-05	1767094809
1750	0.014006898738443851	1e-05	1767094814
1800	0.09622819721698761	1e-05	1767094819
1850	0.11817146092653275	1e-05	1767094824
1900	0.008747491985559464	1e-05	1767094830
1950	0.007490649353712797	1e-05	1767094835
2000	0.0070308903232216835	1e-05	1767094840
2050	0.020067399367690086	1e-05	1767094845
2100	0.008937624283134937	1e-05	1767094851
2150	0.031182976439595222	1e-05	1767094856
2200	0.005139661952853203	1e-05	1767094861
2250	0.004261781461536884	1e-05	1767094866
2300	0.050922948867082596	1e-05	1767094871
2350	0.0064085847698152065	1e-05	1767094877
2400	0.0040060412138700485	1e-05	1767094882
2450	0.0043127527460455894	1e-05	1767094887
2500	0.003464466892182827	1e-05	1767094893
2550	0.001987716183066368	1e-05	1767094898
2600	0.0047885095700621605	1e-05	1767094903
2650	0.007047067396342754	1e-05	1767094908
2700	0.008389955386519432	1e-05	1767094913
2750	0.004189756698906422	1e-05	1767094918
2800	0.00736174825578928	1e-05	1767094923
2850	0.15013808012008667	1e-05	1767094929
2900	0.005088456906378269	1e-05	1767094934
2950	0.004712199792265892	1e-05	1767094939
3000	0.005235460586845875	1e-05	1767094944
3050	0.0031413999386131763	1e-05	1767094949
3100	0.0030384401325136423	1e-05	1767094955
3150	0.0022119677159935236	1e-05	1767094960
3200	0.005075182765722275	1e-05	1767094965
3250	0.002589200157672167	1e-05	1767094971
3300	0.004759959876537323	1e-05	1767094976
3350	0.00681992108002305	1e-05	1767094981
3400	0.02344147488474846	1e-05	1767094987
3450	0.004623856395483017	1e-05	1767094992
3500	0.004217523615807295	1e-05	1767094997
3550	0.0037568463012576103	1e-05	1767095002
3600	0.003111284226179123	1e-05	1767095007
3650	0.0036884318105876446	1e-05	1767095013
3700	0.15346790850162506	1e-05	1767095018
3750	0.002568233059719205	1e-05	1767095023
3800	0.0028244475834071636	1e-05	1767095029
3850	0.002132079564034939	1e-05	1767095034
3900	0.005608384497463703	1e-05	1767095039
3950	0.0033030533231794834	1e-05	1767095044
4000	0.00234074704349041	1e-05	1767095050
4050	0.0029548443853855133	1e-05	1767095055
4100	0.002117107855156064	1e-05	1767095061
4150	0.0031311046332120895	1e-05	1767095066
4200	0.002636464312672615	1e-05	1767095071
4250	0.0025071860291063786	1e-05	1767095076
4300	0.0025188401341438293	1e-05	1767095081
4350	0.0028843889012932777	1e-05	1767095086
4400	0.002056263154372573	1e-05	1767095091
4450	0.0019569380674511194	1e-05	1767095097
4500	0.0019260609988123178	1e-05	1767095102
4550	0.002779570408165455	1e-05	1767095107
4600	0.0027234158478677273	1e-05	1767095113
4650	0.0024334462359547615	1e-05	1767095118
4700	0.003612109459936619	1e-05	1767095123
4750	0.0020314918365329504	1e-05	1767095129
4800	0.0019654345232993364	1e-05	1767095134
4850	0.004442316945642233	1e-05	1767095139
4900	0.0035553062334656715	1e-05	1767095144
4950	0.05249765142798424	1e-05	1767095150
5000	0.003028915962204337	1e-05	1767095155
5050	0.00216451333835721	1e-05	1767095160
5100	0.002654165029525757	1e-05	1767095165
5150	0.0021367354784160852	1e-05	1767095170
5200	0.004463751334697008	1e-05	1767095175
5250	0.0030097695998847485	1e-05	1767095181
5300	0.10786537826061249	1e-05	1767095186
5350	0.04674467444419861	1e-05	1767095191
5400	0.003042156808078289	1e-05	1767095196
5450	0.002381360623985529	1e-05	1767095202
5500	0.0015933443792164326	1e-05	1767095207
5550	0.00536593422293663	1e-05	1767095212
5600	0.002000761916860938	1e-05	1767095218
5650	0.0015534081030637026	1e-05	1767095223
5700	0.004450574517250061	1e-05	1767095229
5750	0.001824630657210946	1e-05	1767095234
5800	0.0030756457708775997	1e-05	1767095239
5850	0.1100979745388031	1e-05	1767095245
5900	0.0018725235713645816	1e-05	1767095250
5950	0.12348654866218567	1e-05	1767095255
6000	0.0030986249912530184	1e-05	1767095260
6050	0.0014563578879460692	1e-05	1767095266
6100	0.00203534122556448	1e-05	1767095271
6150	0.0016962846275418997	1e-05	1767095276
6200	0.00616339361295104	1e-05	1767095282
6250	0.0015912419185042381	1e-05	1767095287
6300	0.0015798701206222177	1e-05	1767095292
6350	0.0023256789427250624	1e-05	1767095297
6400	0.0014169621281325817	1e-05	1767095303
6450	0.0018154471181333065	1e-05	1767095308
