step	recon	kl	loss	lr	ts
100	0.13456815481185913	0.001143472152762115	0.13456815481185913	5e-06	1767792293
200	0.07710127532482147	0.0015954840928316116	0.07710127532482147	1e-05	1767792385
300	0.02631480246782303	0.0018456572433933616	0.026314804330468178	1.5e-05	1767792478
400	0.04934600740671158	0.002191576873883605	0.04934601113200188	2e-05	1767792570
500	0.04744046926498413	0.0024312615860253572	0.04744047299027443	2.5e-05	1767792663
600	0.03865416347980499	0.0025471909902989864	0.03865416720509529	3e-05	1767792755
700	0.02655228227376938	0.002849470591172576	0.026552285999059677	3.5e-05	1767792849
800	0.019822370260953903	0.0032100072130560875	0.0198223739862442	4e-05	1767792941
900	0.01675739325582981	0.0033458645921200514	0.01675739698112011	4.5e-05	1767793033
1000	0.012467783875763416	0.003577249823138118	0.012467787601053715	5e-05	1767793127
1100	0.008868830278515816	0.0038970201276242733	0.008868834003806114	5.500000000000001e-05	1767793220
1200	0.012659579515457153	0.004329120274633169	0.012659584172070026	6e-05	1767793313
1300	0.015399551950395107	0.004507151432335377	0.01539955660700798	6.500000000000001e-05	1767793406
1400	0.0065803201869130135	0.004789801314473152	0.0065803248435258865	7e-05	1767793499
1500	0.007961967028677464	0.0050705717876553535	0.007961971685290337	7.500000000000001e-05	1767793591
1600	0.006314578931778669	0.005500423721969128	0.006314584519714117	8e-05	1767793685
1700	0.006751338019967079	0.005832902155816555	0.006751344073563814	8.5e-05	1767793777
1800	0.01863386668264866	0.00603902293369174	0.018633872270584106	9e-05	1767793869
1900	0.006570775527507067	0.005889689549803734	0.006570781581103802	9.5e-05	1767793963
2000	0.005026411265134811	0.005750770680606365	0.005026416853070259	0.0001	1767794055
2100	0.0046461401507258415	0.006129800342023373	0.0046461462043225765	9.999238475781957e-05	1767794150
2200	0.003599019255489111	0.006968044675886631	0.0035990262404084206	9.99695413509548e-05	1767794242
2300	0.005090424790978432	0.006666074972599745	0.005090431310236454	9.99314767377287e-05	1767794335
2400	0.0020188200287520885	0.006432926747947931	0.002018826548010111	9.987820251299122e-05	1767794427
2500	0.004294033627957106	0.007364763878285885	0.0042940410785377026	9.980973490458728e-05	1767794519
2600	0.0026759584434330463	0.007567967288196087	0.002675966126844287	9.972609476841367e-05	1767794611
2700	0.004391646012663841	0.0073128966614604	0.004391653463244438	9.962730758206611e-05	1767794702
2800	0.002444762736558914	0.007071387954056263	0.002444769721478224	9.951340343707852e-05	1767794795
2900	0.00243755872361362	0.007254787255078554	0.002437565941363573	9.938441702975689e-05	1767794887
3000	0.0034682508558034897	0.007690895814448595	0.0034682585392147303	9.924038765061042e-05	1767794980
3100	0.0029426496475934982	0.0069666896015405655	0.002942656632512808	9.908135917238321e-05	1767795073
3200	0.0021191227715462446	0.0073735979385674	0.0021191302221268415	9.890738003669029e-05	1767795166
3300	0.0024187234230339527	0.007500097155570984	0.0024187308736145496	9.871850323926177e-05	1767795258
3400	0.0020666434429585934	0.007905406877398491	0.0020666513592004776	9.851478631379982e-05	1767795351
3500	0.0015337003860622644	0.007530604489147663	0.0015337079530581832	9.829629131445342e-05	1767795443
3600	0.0012308957520872355	0.007438848726451397	0.0012309032026678324	9.806308479691595e-05	1767795535
3700	0.0012509216321632266	0.007125031668692827	0.001250928733497858	9.781523779815179e-05	1767795628
3800	0.0018876593094319105	0.007934373803436756	0.0018876672256737947	9.755282581475769e-05	1767795720
100	0.09726521372795105	0.0011152178049087524	0.09726521372795105	5e-06	1767802669
200	0.0477452389895916	0.0016929046250879765	0.0477452389895916	1e-05	1767802706
300	0.06177835166454315	0.001813923241570592	0.06177835166454315	1.5e-05	1767802744
400	0.021868998184800148	0.0022627690341323614	0.021869000047445297	2e-05	1767802782
500	0.02933192253112793	0.0023728201631456614	0.02933192439377308	2.5e-05	1767802820
600	0.037218380719423294	0.002460287418216467	0.03721838444471359	3e-05	1767802858
700	0.015834683552384377	0.00284188031218946	0.015834687277674675	3.5e-05	1767802896
800	0.012960799038410187	0.0031781496945768595	0.01296080183237791	4e-05	1767802934
900	0.018822330981492996	0.0030113491229712963	0.018822334706783295	4.5e-05	1767802972
1000	0.008566409349441528	0.0033260637428611517	0.008566413074731827	5e-05	1767803010
1100	0.008941895328462124	0.003500067861750722	0.008941899053752422	5.500000000000001e-05	1767803049
1200	0.007791820913553238	0.00399396475404501	0.007791825104504824	6e-05	1767803087
1300	0.010157465003430843	0.004040535539388657	0.010157468728721142	6.500000000000001e-05	1767803125
1400	0.005681645590811968	0.004413233138620853	0.005681649781763554	7e-05	1767803163
1500	0.007286264561116695	0.004238128662109375	0.007286268752068281	7.500000000000001e-05	1767803201
1600	0.019907329231500626	0.004510403145104647	0.019907332956790924	8e-05	1767803239
1700	0.005296727642416954	0.0049399035051465034	0.005296732764691114	8.5e-05	1767803277
1800	0.006074069999158382	0.0048238062299788	0.0060740746557712555	9e-05	1767803315
1900	0.005745808593928814	0.005181352607905865	0.005745813716202974	9.5e-05	1767803353
2000	0.010086538270115852	0.0049321288242936134	0.010086542926728725	0.0001	1767803391
2100	0.005357380956411362	0.005270231515169144	0.005357386078685522	9.999238475781957e-05	1767803430
2200	0.0019854179117828608	0.005965148098766804	0.0019854239653795958	9.99695413509548e-05	1767803468
2300	0.00536959758028388	0.005737218074500561	0.005369603168219328	9.99314767377287e-05	1767803506
2400	0.003418613225221634	0.00622094701975584	0.0034186195116490126	9.987820251299122e-05	1767803544
2500	0.003629331011325121	0.00605334248393774	0.003629337064921856	9.980973490458728e-05	1767803582
2600	0.002440517768263817	0.006488582119345665	0.002440524287521839	9.972609476841367e-05	1767803620
2700	0.0017525185830891132	0.006964333355426788	0.0017525255680084229	9.962730758206611e-05	1767803658
2800	0.0033262325450778008	0.0067483484745025635	0.0033262392971664667	9.951340343707852e-05	1767803696
2900	0.0022574900649487972	0.007031952030956745	0.002257497049868107	9.938441702975689e-05	1767803734
3000	0.0026564213912934065	0.007653338368982077	0.002656429074704647	9.924038765061042e-05	1767803773
3100	0.0031614932231605053	0.00717215146869421	0.0031615004409104586	9.908135917238321e-05	1767803811
3200	0.002138699870556593	0.007296549156308174	0.002138707088306546	9.890738003669029e-05	1767803849
3300	0.005241220351308584	0.007322574034333229	0.005241227801889181	9.871850323926177e-05	1767803887
3400	0.0018256684998050332	0.008057022467255592	0.0018256765324622393	9.851478631379982e-05	1767803925
3500	0.0012427724432200193	0.008278648369014263	0.001242780708707869	9.829629131445342e-05	1767803963
3600	0.000978650525212288	0.008602730929851532	0.000978659139946103	9.806308479691595e-05	1767804001
3700	0.0017138076946139336	0.00853244960308075	0.001713816192932427	9.781523779815179e-05	1767804040
3800	0.002684180159121752	0.008037286810576916	0.0026841883081942797	9.755282581475769e-05	1767804077
3900	0.00115532660856843	0.00871650967746973	0.001155335339717567	9.727592877996585e-05	1767804116
4000	0.0010228785686194897	0.009117254056036472	0.0010228876490145922	9.698463103929542e-05	1767804154
