step	loss	loss_ma200	lr	ts	t_mean	drop_ratio	black_ratio	latent_mean	latent_std	t_bucket
50	0.6942473649978638	0.8659289753437043	5e-06	1770728464	588.0	0.0	0.0	0.09966631978750229	0.8677965998649597	5
100	0.5195828676223755	0.7184328207373619	5e-06	1770728469	431.5	0.0	0.0	0.09966631978750229	0.8677965998649597	4
150	0.3234236240386963	0.6083359525601069	5e-06	1770728474	430.75	0.0	0.0	0.09966631978750229	0.8677965998649597	3
200	0.20210035145282745	0.5272047840058803	5e-06	1770728479	562.75	0.0	0.0	0.09966631978750229	0.8677965998649597	5
250	0.16597622632980347	0.370873893648386	5e-06	1770728484	594.25	0.0	0.0	0.09966631978750229	0.8677965998649597	5
300	0.18123182654380798	0.28210956782102586	5e-06	1770728489	604.25	0.0	0.0	0.09966631978750229	0.8677965998649597	5
350	0.1242733746767044	0.23157286923378706	5e-06	1770728494	587.25	0.0	0.0	0.09966631978750229	0.8677965998649597	5
400	0.3812406659126282	0.20671891734004022	5e-06	1770728499	210.75	0.0	0.0	0.09966631978750229	0.8677965998649597	1
450	0.1398201882839203	0.18561205599457026	5e-06	1770728504	480.75	0.0	0.0	0.09966631978750229	0.8677965998649597	4
500	0.09227681159973145	0.17302175343036652	5e-06	1770728509	617.25	0.0	0.0	0.09966631978750229	0.8677965998649597	5
550	0.09555336087942123	0.16186339676380157	5e-06	1770728515	589.0	0.0	0.0	0.09966631978750229	0.8677965998649597	5
600	0.13622936606407166	0.15695663288235664	5e-06	1770728520	551.0	0.0	0.0	0.09966631978750229	0.8677965998649597	5
650	0.0955490916967392	0.15432572774589062	5e-06	1770728525	548.5	0.0	0.0	0.09966631978750229	0.8677965998649597	5
700	0.10232481360435486	0.15031131468713282	5e-06	1770728530	630.0	0.0	0.0	0.09966631978750229	0.8677965998649597	5
750	0.2516995966434479	0.15157169964164496	5e-06	1770728535	207.25	0.0	0.0	0.09966631978750229	0.8677965998649597	1
800	0.35417988896369934	0.14203884474933148	5e-06	1770728540	289.0	0.0	0.0	0.09966631978750229	0.8677965998649597	2
850	0.057968512177467346	0.13389505252242087	5e-06	1770728545	736.25	0.0	0.0	0.09966631978750229	0.8677965998649597	7
900	0.11221116036176682	0.12289313897490502	5e-06	1770728550	341.0	0.0	0.0	0.09966631978750229	0.8677965998649597	2
950	0.1607506275177002	0.11472055312246084	5e-06	1770728555	338.25	0.0	0.0	0.09966631978750229	0.8677965998649597	2
1000	0.14758887887001038	0.10780295165255666	5e-06	1770728560	358.25	0.0	0.0	0.09966631978750229	0.8677965998649597	3
1050	0.3365483582019806	0.10819863619282842	5e-06	1770728565	130.75	0.0	0.0	0.09966631978750229	0.8677965998649597	1
1100	0.05575830116868019	0.11208844929933548	5e-06	1770728570	650.5	0.0	0.0	0.09966631978750229	0.8677965998649597	6
1150	0.0836399495601654	0.10793875880539418	5e-06	1770728575	520.75	0.0	0.0	0.09966631978750229	0.8677965998649597	4
1200	0.07375235855579376	0.10662712447345257	5e-06	1770728580	535.25	0.0	0.0	0.09966631978750229	0.8677965998649597	5
1250	0.05297822877764702	0.10105666717514396	5e-06	1770728585	708.5	0.0	0.0	0.09966631978750229	0.8677965998649597	6
1300	0.06793823838233948	0.09113414285704494	5e-06	1770728590	502.75	0.0	0.0	0.09966631978750229	0.8677965998649597	4
1350	0.06458352506160736	0.08908972268924117	5e-06	1770728595	501.0	0.0	0.0	0.09966631978750229	0.8677965998649597	4
1400	0.163630872964859	0.0846478597447276	5e-06	1770728600	84.5	0.0	0.0	0.09966631978750229	0.8677965998649597	0
1450	0.07285751402378082	0.0804916282556951	5e-06	1770728605	357.5	0.0	0.0	0.09966631978750229	0.8677965998649597	3
1500	0.06049935519695282	0.07946284329518676	5e-06	1770728610	419.25	0.0	0.0	0.09966631978750229	0.8677965998649597	3
1550	0.1066715195775032	0.07575931647792458	5e-06	1770728615	375.0	0.0	0.0	0.09966631978750229	0.8677965998649597	3
1600	0.05725466459989548	0.07474780166521669	5e-06	1770728620	334.0	0.0	0.0	0.09966631978750229	0.8677965998649597	2
1650	0.054810479283332825	0.07317989869043232	5e-06	1770728625	639.5	0.0	0.0	0.09966631978750229	0.8677965998649597	5
1700	0.07735088467597961	0.06857093837112188	5e-06	1770728630	549.0	0.0	0.0	0.09966631978750229	0.8677965998649597	5
1750	0.0444440096616745	0.06385049671866	5e-06	1770728635	456.5	0.0	0.0	0.09966631978750229	0.8677965998649597	4
1800	0.03767232224345207	0.06126388614065945	5e-06	1770728640	550.5	0.0	0.0	0.09966631978750229	0.8677965998649597	4
1850	0.04223456606268883	0.055825636852532626	5e-06	1770728646	441.0	0.0	0.0	0.09966631978750229	0.8677965998649597	3
1900	0.08367857336997986	0.05392673428170383	5e-06	1770728651	280.0	0.0	0.0	0.09966631978750229	0.8677965998649597	2
1950	0.03362010419368744	0.051372448168694976	5e-06	1770728656	588.5	0.0	0.0	0.09966631978750229	0.8677965998649597	5
2000	0.03176204860210419	0.049937049699947236	5e-06	1770728661	498.25	0.0	0.0	0.09966631978750229	0.8677965998649597	4
2050	0.06272406131029129	0.0500944653712213	5e-06	1770728666	261.25	0.0	0.0	0.09966631978750229	0.8677965998649597	2
2100	0.0608210489153862	0.0479928292427212	5e-06	1770728671	405.0	0.0	0.0	0.09966631978750229	0.8677965998649597	3
2150	0.02633482962846756	0.04934976971708238	5e-06	1770728676	626.0	0.0	0.0	0.09966631978750229	0.8677965998649597	5
2200	0.02653234824538231	0.04606924104504287	5e-06	1770728681	539.25	0.0	0.0	0.09966631978750229	0.8677965998649597	4
2250	0.03313174843788147	0.0477555616479367	5e-06	1770728686	480.5	0.0	0.0	0.09966631978750229	0.8677965998649597	4
2300	0.0334809273481369	0.046090732971206305	5e-06	1770728692	460.25	0.0	0.0	0.09966631978750229	0.8677965998649597	4
2350	0.030594194307923317	0.044858696861192586	5e-06	1770728697	519.25	0.0	0.0	0.09966631978750229	0.8677965998649597	4
2400	0.03208838403224945	0.04520117013715207	5e-06	1770728702	416.5	0.0	0.0	0.09966631978750229	0.8677965998649597	3
