step	loss	lr	ts	t_mean	drop_ratio	black_ratio	latent_mean	latent_std
50	0.3285720944404602	5e-06	1770629487	588.0	0.0	0.0	-0.188935786485672	0.7764979004859924
100	0.2191399335861206	5e-06	1770629492	431.5	0.0	0.0	0.033160798251628876	0.8691938519477844
150	0.2075045257806778	5e-06	1770629497	430.75	0.0	0.0	-0.21464726328849792	0.7456775903701782
200	0.2571493983268738	5e-06	1770629502	562.75	0.0	0.0	-0.15603165328502655	0.7710997462272644
250	0.2473137229681015	5e-06	1770629507	594.25	0.0	0.0	-0.041116178035736084	0.7927704453468323
300	0.22221387922763824	5e-06	1770629513	604.25	0.0	0.0	-0.08573976159095764	0.7894467711448669
350	0.21953795850276947	5e-06	1770629518	587.25	0.0	0.0	-0.14807018637657166	0.7909891605377197
400	0.11696483194828033	5e-06	1770629523	210.75	0.0	0.0	-0.17039024829864502	0.7691404819488525
450	0.1432703137397766	5e-06	1770629527	480.75	0.0	0.0	0.0034193224273622036	0.8602250814437866
500	0.2125074863433838	5e-06	1770629533	617.25	0.0	0.0	-0.2082478553056717	0.7484464049339294
550	0.15527424216270447	5e-06	1770629538	589.0	0.0	0.0	0.03350768983364105	0.8655807375907898
600	0.20141980051994324	5e-06	1770629543	551.0	0.0	0.0	-0.21380779147148132	0.7581557631492615
650	0.1779879480600357	5e-06	1770629548	548.5	0.0	0.0	-0.03368709236383438	0.8295642137527466
700	0.21658527851104736	5e-06	1770629553	630.0	0.0	0.0	-0.10035143792629242	0.8043347001075745
750	0.06085854023694992	5e-06	1770629558	207.25	0.0	0.0	0.19577479362487793	0.889380156993866
800	0.14706309139728546	5e-06	1770629563	289.0	0.0	0.0	-0.11168266832828522	0.7711126208305359
850	0.25839537382125854	5e-06	1770629568	736.25	0.0	0.0	-0.006446891464293003	0.8237652778625488
900	0.11856983602046967	5e-06	1770629573	341.0	0.0	0.0	-0.10714356601238251	0.8150529861450195
950	0.11508295685052872	5e-06	1770629579	338.25	0.0	0.0	-0.052808940410614014	0.8260968327522278
1000	0.16237810254096985	5e-06	1770629584	358.25	0.0	0.0	-0.06647562980651855	0.8075178265571594
1050	0.06004376336932182	5e-06	1770629589	130.75	0.0	0.0	-0.07911746203899384	0.8105952739715576
1100	0.20651793479919434	5e-06	1770629594	650.5	0.0	0.0	-0.16799528896808624	0.7730109691619873
1150	0.17279992997646332	5e-06	1770629599	520.75	0.0	0.0	-0.14229826629161835	0.7783011198043823
1200	0.10797862708568573	5e-06	1770629604	535.25	0.0	0.0	0.04941008239984512	0.8713127970695496
1250	0.20540963113307953	5e-06	1770629609	708.5	0.0	0.0	-0.1527404487133026	0.7642484903335571
1300	0.19189202785491943	5e-06	1770629614	502.75	0.0	0.0	-0.18515384197235107	0.7578426003456116
1350	0.17211496829986572	5e-06	1770629619	501.0	0.0	0.0	-0.1388658583164215	0.7784563899040222
1400	0.03706328570842743	5e-06	1770629624	84.5	0.0	0.0	-0.068723663687706	0.8406544327735901
1450	0.12580710649490356	5e-06	1770629630	357.5	0.0	0.0	-0.11583994328975677	0.7890254855155945
1500	0.1464240401983261	5e-06	1770629635	419.25	0.0	0.0	-0.22119547426700592	0.7445458173751831
1550	0.15874645113945007	5e-06	1770629640	375.0	0.0	0.0	-0.02600947394967079	0.8375786542892456
1600	0.12361475825309753	5e-06	1770629645	334.0	0.0	0.0	-0.1641252338886261	0.7719847559928894
1650	0.24716901779174805	5e-06	1770629650	639.5	0.0	0.0	-0.14798587560653687	0.7855015397071838
1700	0.17683735489845276	5e-06	1770629655	549.0	0.0	0.0	-0.22691908478736877	0.7618633508682251
1750	0.1739410161972046	5e-06	1770629660	456.5	0.0	0.0	-0.041990380734205246	0.8067077994346619
1800	0.17847253382205963	5e-06	1770629665	550.5	0.0	0.0	-0.037836384028196335	0.8295668363571167
1850	0.15010759234428406	5e-06	1770629670	441.0	0.0	0.0	-0.20379778742790222	0.7645477056503296
1900	0.07769851386547089	5e-06	1770629675	280.0	0.0	0.0	-0.05303546041250229	0.8180006146430969
1950	0.1627967655658722	5e-06	1770629680	588.5	0.0	0.0	-0.1710003912448883	0.7714186906814575
2000	0.17326495051383972	5e-06	1770629685	498.25	0.0	0.0	-0.13702863454818726	0.7826905250549316
2050	0.09350812435150146	5e-06	1770629691	261.25	0.0	0.0	-0.017333824187517166	0.8423446416854858
2100	0.1808198243379593	5e-06	1770629696	405.0	0.0	0.0	-0.020004600286483765	0.8386857509613037
2150	0.21543334424495697	5e-06	1770629701	626.0	0.0	0.0	-0.13860493898391724	0.792481541633606
2200	0.17654305696487427	5e-06	1770629706	539.25	0.0	0.0	-0.24702323973178864	0.7536420822143555
2250	0.11904110014438629	5e-06	1770629711	480.5	0.0	0.0	0.1408904641866684	0.8772106170654297
2300	0.14333629608154297	5e-06	1770629716	460.25	0.0	0.0	-0.12354828417301178	0.7986147403717041
2350	0.14219073951244354	5e-06	1770629721	519.25	0.0	0.0	0.02563396468758583	0.8790334463119507
2400	0.13745899498462677	5e-06	1770629726	416.5	0.0	0.0	-0.029725033789873123	0.8288887143135071
2450	0.17862224578857422	5e-06	1770629731	518.25	0.0	0.0	-0.041098702698946	0.8269016742706299
2500	0.14619581401348114	5e-06	1770629736	434.5	0.0	0.0	-0.10006269812583923	0.8098107576370239
2550	0.1565518081188202	5e-06	1770629741	513.0	0.0	0.0	-0.009591737762093544	0.8541866540908813
2600	0.12398600578308105	5e-06	1770629746	397.0	0.0	0.0	-0.041581809520721436	0.8161654472351074
2650	0.0718691498041153	5e-06	1770629751	324.25	0.0	0.0	0.08996478468179703	0.8673797845840454
2700	0.08593623340129852	5e-06	1770629756	290.0	0.0	0.0	-0.03962104022502899	0.8410555720329285
2750	0.16524600982666016	5e-06	1770629762	511.75	0.0	0.0	-0.045762136578559875	0.8273985385894775
2800	0.12272904813289642	5e-06	1770629767	400.75	0.0	0.0	-0.1933487057685852	0.7628149390220642
2850	0.145907461643219	5e-06	1770629772	452.25	0.0	0.0	0.02751294896006584	0.8373969793319702
2900	0.29495230317115784	5e-06	1770629777	729.0	0.0	0.0	-0.06416626274585724	0.7928978204727173
2950	0.1421007215976715	5e-06	1770629782	514.75	0.0	0.0	-0.12195703387260437	0.8014601469039917
3000	0.2006560117006302	5e-06	1770629787	502.0	0.0	0.0	-0.07736588269472122	0.7951165437698364
3050	0.2149624228477478	5e-06	1770629792	631.25	0.0	0.0	-0.23671011626720428	0.737830638885498
3100	0.11601035296916962	5e-06	1770629797	314.25	0.0	0.0	-0.09794533997774124	0.824364960193634
3150	0.2069156914949417	5e-06	1770629802	678.0	0.0	0.0	-0.06649062037467957	0.82828688621521
3200	0.1306300312280655	5e-06	1770629808	384.5	0.0	0.0	-0.10733294486999512	0.7930060029029846
3250	0.10386224091053009	5e-06	1770629813	367.5	0.0	0.0	0.03543864190578461	0.8612500429153442
3300	0.18485262989997864	5e-06	1770629818	623.5	0.0	0.0	-0.07774301618337631	0.8243261575698853
3350	0.14522269368171692	5e-06	1770629823	463.75	0.0	0.0	-0.057195186614990234	0.8080434203147888
3400	0.14111179113388062	5e-06	1770629828	431.0	0.0	0.0	-0.2207876741886139	0.7472792267799377
3450	0.20888549089431763	5e-06	1770629833	769.5	0.0	0.0	-0.04853048920631409	0.8367085456848145
3500	0.18689578771591187	5e-06	1770629838	573.25	0.0	0.0	-0.2495620846748352	0.7371140122413635
3550	0.23468267917633057	5e-06	1770629843	603.5	0.0	0.0	-0.05391637608408928	0.8103682994842529
3600	0.18447521328926086	5e-06	1770629848	631.5	0.0	0.0	-0.040950752794742584	0.8277159929275513
3650	0.07786084711551666	5e-06	1770629853	274.5	0.0	0.0	-0.20437556505203247	0.770021915435791
3700	0.17260634899139404	5e-06	1770629858	544.0	0.0	0.0	-0.14217416942119598	0.7741007804870605
3750	0.23746393620967865	5e-06	1770629863	686.25	0.0	0.0	-0.23665402829647064	0.7448933124542236
3800	0.20105460286140442	5e-06	1770629868	638.0	0.0	0.0	-0.033803701400756836	0.826296865940094
3850	0.22647804021835327	5e-06	1770629873	638.75	0.0	0.0	-0.023793205618858337	0.8334282636642456
3900	0.18109169602394104	5e-06	1770629878	615.0	0.0	0.0	-0.26143860816955566	0.7311674356460571
3950	0.05473405122756958	5e-06	1770629883	546.0	0.0	0.0	0.11617189645767212	0.8932437300682068
4000	0.12153813987970352	5e-06	1770629888	552.0	0.0	0.0	-0.07459205389022827	0.842046856880188
