step	loss	loss_ma200	lr	ts	t_mean	drop_ratio	black_ratio	latent_mean	latent_std
50	0.2650313973426819	0.40424700975418093	5e-06	1770720839	588.0	0.0	0.0	0.09966631978750229	0.8677965998649597
100	0.17347761988639832	0.3009324550628662	5e-06	1770720844	431.5	0.0	0.0	0.09966631978750229	0.8677965998649597
150	0.1585351526737213	0.2578353116909663	5e-06	1770720849	430.75	0.0	0.0	0.09966631978750229	0.8677965998649597
200	0.1948859691619873	0.23338966727256774	5e-06	1770720854	562.75	0.0	0.0	0.09966631978750229	0.8677965998649597
250	0.16465464234352112	0.1701960504427552	5e-06	1770720859	594.25	0.0	0.0	0.09966631978750229	0.8677965998649597
300	0.17431333661079407	0.15790460795164107	5e-06	1770720864	604.25	0.0	0.0	0.09966631978750229	0.8677965998649597
350	0.14376597106456757	0.14990870017558336	5e-06	1770720869	587.25	0.0	0.0	0.09966631978750229	0.8677965998649597
400	0.07593721896409988	0.14166135519742964	5e-06	1770720874	210.75	0.0	0.0	0.09966631978750229	0.8677965998649597
450	0.13320183753967285	0.13622230108827352	5e-06	1770720879	480.75	0.0	0.0	0.09966631978750229	0.8677965998649597
500	0.13484519720077515	0.12705748999491334	5e-06	1770720885	617.25	0.0	0.0	0.09966631978750229	0.8677965998649597
550	0.12896502017974854	0.1226742702536285	5e-06	1770720890	589.0	0.0	0.0	0.09966631978750229	0.8677965998649597
600	0.11018325388431549	0.11666549794375897	5e-06	1770720895	551.0	0.0	0.0	0.09966631978750229	0.8677965998649597
650	0.10367009043693542	0.1084162001311779	5e-06	1770720900	548.5	0.0	0.0	0.09966631978750229	0.8677965998649597
700	0.10038686543703079	0.10222385741770268	5e-06	1770720905	630.0	0.0	0.0	0.09966631978750229	0.8677965998649597
750	0.04220911115407944	0.09313631815835834	5e-06	1770720910	207.25	0.0	0.0	0.09966631978750229	0.8677965998649597
800	0.044677697122097015	0.08947459740564227	5e-06	1770720915	289.0	0.0	0.0	0.09966631978750229	0.8677965998649597
850	0.0994897112250328	0.08588463060557842	5e-06	1770720920	736.25	0.0	0.0	0.09966631978750229	0.8677965998649597
900	0.05637262761592865	0.08395218098536134	5e-06	1770720925	341.0	0.0	0.0	0.09966631978750229	0.8677965998649597
950	0.05162365734577179	0.08066924471408128	5e-06	1770720930	338.25	0.0	0.0	0.09966631978750229	0.8677965998649597
1000	0.06278520822525024	0.07674625284969806	5e-06	1770720935	358.25	0.0	0.0	0.09966631978750229	0.8677965998649597
1050	0.025372222065925598	0.07226752819493414	5e-06	1770720941	130.75	0.0	0.0	0.09966631978750229	0.8677965998649597
1100	0.07866695523262024	0.06807010159827769	5e-06	1770720946	650.5	0.0	0.0	0.09966631978750229	0.8677965998649597
1150	0.10078604519367218	0.06573403977788984	5e-06	1770720951	520.75	0.0	0.0	0.09966631978750229	0.8677965998649597
1200	0.06467065215110779	0.06250848300755024	5e-06	1770720956	535.25	0.0	0.0	0.09966631978750229	0.8677965998649597
1250	0.07696326822042465	0.061578883798792956	5e-06	1770720961	708.5	0.0	0.0	0.09966631978750229	0.8677965998649597
1300	0.06036334112286568	0.06030508862808347	5e-06	1770720966	502.75	0.0	0.0	0.09966631978750229	0.8677965998649597
1350	0.05755984038114548	0.05918798147700727	5e-06	1770720971	501.0	0.0	0.0	0.09966631978750229	0.8677965998649597
1400	0.019115149974822998	0.05769764713011682	5e-06	1770720976	84.5	0.0	0.0	0.09966631978750229	0.8677965998649597
1450	0.037819866091012955	0.055883041145280005	5e-06	1770720981	357.5	0.0	0.0	0.09966631978750229	0.8677965998649597
1500	0.042649105191230774	0.05335712260566652	5e-06	1770720986	419.25	0.0	0.0	0.09966631978750229	0.8677965998649597
1550	0.025226326659321785	0.05351251567713916	5e-06	1770720991	375.0	0.0	0.0	0.09966631978750229	0.8677965998649597
1600	0.035973142832517624	0.05014429144561291	5e-06	1770720996	334.0	0.0	0.0	0.09966631978750229	0.8677965998649597
1650	0.03180345147848129	0.0464687183033675	5e-06	1770721002	639.5	0.0	0.0	0.09966631978750229	0.8677965998649597
1700	0.024852437898516655	0.04361742725595832	5e-06	1770721007	549.0	0.0	0.0	0.09966631978750229	0.8677965998649597
1750	0.030159929767251015	0.037799665490165356	5e-06	1770721012	456.5	0.0	0.0	0.09966631978750229	0.8677965998649597
1800	0.03247777745127678	0.03632463710382581	5e-06	1770721017	550.5	0.0	0.0	0.09966631978750229	0.8677965998649597
1850	0.03098827227950096	0.03364082113839686	5e-06	1770721022	441.0	0.0	0.0	0.09966631978750229	0.8677965998649597
1900	0.01750364527106285	0.0352357042580843	5e-06	1770721027	280.0	0.0	0.0	0.09966631978750229	0.8677965998649597
1950	0.023066747933626175	0.033833180586807426	5e-06	1770721032	588.5	0.0	0.0	0.09966631978750229	0.8677965998649597
2000	0.02265431359410286	0.032470912518911065	5e-06	1770721037	498.25	0.0	0.0	0.09966631978750229	0.8677965998649597
2050	0.012096194550395012	0.031876719649881126	5e-06	1770721042	261.25	0.0	0.0	0.09966631978750229	0.8677965998649597
2100	0.021802570670843124	0.02864906775765121	5e-06	1770721047	405.0	0.0	0.0	0.09966631978750229	0.8677965998649597
2150	0.023973774164915085	0.026894871867261826	5e-06	1770721053	626.0	0.0	0.0	0.09966631978750229	0.8677965998649597
2200	0.019821517169475555	0.024876500023528935	5e-06	1770721058	539.25	0.0	0.0	0.09966631978750229	0.8677965998649597
2250	0.015561694279313087	0.024753211215138436	5e-06	1770721063	480.5	0.0	0.0	0.09966631978750229	0.8677965998649597
2300	0.013924684375524521	0.02195552599616349	5e-06	1770721068	460.25	0.0	0.0	0.09966631978750229	0.8677965998649597
2350	0.012158393859863281	0.021699010133743285	5e-06	1770721073	519.25	0.0	0.0	0.09966631978750229	0.8677965998649597
2400	0.012780051678419113	0.021636388013139368	5e-06	1770721078	416.5	0.0	0.0	0.09966631978750229	0.8677965998649597
2450	0.012169016525149345	0.02090083529939875	5e-06	1770721083	518.25	0.0	0.0	0.09966631978750229	0.8677965998649597
2500	0.012597499415278435	0.020023162725847213	5e-06	1770721088	434.5	0.0	0.0	0.09966631978750229	0.8677965998649597
2550	0.010023562237620354	0.01713622350245714	5e-06	1770721093	513.0	0.0	0.0	0.09966631978750229	0.8677965998649597
2600	0.0074274614453315735	0.015427812519483268	5e-06	1770721098	397.0	0.0	0.0	0.09966631978750229	0.8677965998649597
2650	0.006369063630700111	0.012651140047237277	5e-06	1770721103	324.25	0.0	0.0	0.09966631978750229	0.8677965998649597
2700	0.00654740072786808	0.013228828203864396	5e-06	1770721108	290.0	0.0	0.0	0.09966631978750229	0.8677965998649597
2750	0.008573416620492935	0.014313611520919948	5e-06	1770721114	511.75	0.0	0.0	0.09966631978750229	0.8677965998649597
2800	0.006282981019467115	0.014479717873036861	5e-06	1770721119	400.75	0.0	0.0	0.09966631978750229	0.8677965998649597
2850	0.006871828809380531	0.01529837317764759	5e-06	1770721124	452.25	0.0	0.0	0.09966631978750229	0.8677965998649597
2900	0.009721532464027405	0.014530316506279633	5e-06	1770721129	729.0	0.0	0.0	0.09966631978750229	0.8677965998649597
2950	0.13041502237319946	0.014465656904503703	5e-06	1770721134	514.75	0.0	0.0	0.09966631978750229	0.8677965998649597
3000	0.006117342505604029	0.013241529767401516	5e-06	1770721139	502.0	0.0	0.0	0.09966631978750229	0.8677965998649597
3050	0.008049008436501026	0.013363149820361287	5e-06	1770721144	631.25	0.0	0.0	0.09966631978750229	0.8677965998649597
3100	0.00456884503364563	0.011973951804684475	5e-06	1770721149	314.25	0.0	0.0	0.09966631978750229	0.8677965998649597
3150	0.007082679308950901	0.010791210166644305	5e-06	1770721154	678.0	0.0	0.0	0.09966631978750229	0.8677965998649597
3200	0.005222599022090435	0.013345049663912504	5e-06	1770721160	384.5	0.0	0.0	0.09966631978750229	0.8677965998649597
3250	0.004037531092762947	0.011135738649172708	5e-06	1770721165	367.5	0.0	0.0	0.09966631978750229	0.8677965998649597
3300	0.005681443959474564	0.01040816243737936	5e-06	1770721170	623.5	0.0	0.0	0.09966631978750229	0.8677965998649597
3350	0.005702444352209568	0.010007853341521695	5e-06	1770721175	463.75	0.0	0.0	0.09966631978750229	0.8677965998649597
3400	0.0047645168378949165	0.0063584616302978245	5e-06	1770721180	431.0	0.0	0.0	0.09966631978750229	0.8677965998649597
3450	0.006313547026365995	0.007426266297698021	5e-06	1770721185	769.5	0.0	0.0	0.09966631978750229	0.8677965998649597
3500	0.09647661447525024	0.008527939354535193	5e-06	1770721190	573.25	0.0	0.0	0.09966631978750229	0.8677965998649597
3550	0.005376988090574741	0.009032458239234984	5e-06	1770721195	603.5	0.0	0.0	0.09966631978750229	0.8677965998649597
3600	0.004938764497637749	0.008818203733535484	5e-06	1770721200	631.5	0.0	0.0	0.09966631978750229	0.8677965998649597
3650	0.00305764889344573	0.01007829991169274	5e-06	1770721206	274.5	0.0	0.0	0.09966631978750229	0.8677965998649597
3700	0.00479238061234355	0.008672996493987738	5e-06	1770721211	544.0	0.0	0.0	0.09966631978750229	0.8677965998649597
3750	0.005259956233203411	0.006914825427811593	5e-06	1770721216	686.25	0.0	0.0	0.09966631978750229	0.8677965998649597
3800	0.004528859164565802	0.008002168585080653	5e-06	1770721221	638.0	0.0	0.0	0.09966631978750229	0.8677965998649597
3850	0.004162933677434921	0.005093659642152488	5e-06	1770721226	638.75	0.0	0.0	0.09966631978750229	0.8677965998649597
3900	0.004309351556003094	0.005774757958133705	5e-06	1770721231	615.0	0.0	0.0	0.09966631978750229	0.8677965998649597
3950	0.0035239337012171745	0.005705342115252279	5e-06	1770721236	546.0	0.0	0.0	0.09966631978750229	0.8677965998649597
4000	0.002936865435913205	0.004331884136772715	5e-06	1770721241	552.0	0.0	0.0	0.09966631978750229	0.8677965998649597
4050	0.003365984885022044	0.006010841582901776	5e-06	1770721246	541.5	0.0	0.0	0.09966631978750229	0.8677965998649597
4100	0.0038501776289194822	0.006998727768077515	5e-06	1770721251	441.5	0.0	0.0	0.09966631978750229	0.8677965998649597
4150	0.0029707106295973063	0.009140442095813342	5e-06	1770721257	506.0	0.0	0.0	0.09966631978750229	0.8677965998649597
4200	0.0034753649961203337	0.009084036729182116	5e-06	1770721262	599.0	0.0	0.0	0.09966631978750229	0.8677965998649597
4250	0.002321826061233878	0.007175186858512461	5e-06	1770721267	412.25	0.0	0.0	0.09966631978750229	0.8677965998649597
4300	0.0033330232836306095	0.0051358429988613355	5e-06	1770721272	686.25	0.0	0.0	0.09966631978750229	0.8677965998649597
4350	0.0032695073168724775	0.0027941683476092292	5e-06	1770721277	646.5	0.0	0.0	0.09966631978750229	0.8677965998649597
4400	0.002893592230975628	0.0061297235742677	5e-06	1770721282	378.0	0.0	0.0	0.09966631978750229	0.8677965998649597
4450	0.002795411739498377	0.007925114088575356	5e-06	1770721287	558.5	0.0	0.0	0.09966631978750229	0.8677965998649597
4500	0.00336952181532979	0.00875365458196029	5e-06	1770721292	477.0	0.0	0.0	0.09966631978750229	0.8677965998649597
4550	0.0025433525443077087	0.013291663873824291	5e-06	1770721297	554.75	0.0	0.0	0.09966631978750229	0.8677965998649597
4600	0.002941923215985298	0.010556418677442708	5e-06	1770721302	690.0	0.0	0.0	0.09966631978750229	0.8677965998649597
4650	0.0017534518847241998	0.009556597038754262	5e-06	1770721307	279.0	0.0	0.0	0.09966631978750229	0.8677965998649597
4700	0.0018647249089553952	0.00956057018134743	5e-06	1770721312	470.0	0.0	0.0	0.09966631978750229	0.8677965998649597
4750	0.0026604884769767523	0.005772149249678477	5e-06	1770721317	671.75	0.0	0.0	0.09966631978750229	0.8677965998649597
4800	0.002068867674097419	0.005717552365385927	5e-06	1770721322	445.25	0.0	0.0	0.09966631978750229	0.8677965998649597
4850	0.0020095198415219784	0.006311803278513253	5e-06	1770721327	415.75	0.0	0.0	0.09966631978750229	0.8677965998649597
4900	0.0017125122249126434	0.005342557579861022	5e-06	1770721332	401.0	0.0	0.0	0.09966631978750229	0.8677965998649597
4950	0.0018557775765657425	0.007041080966009758	5e-06	1770721337	395.0	0.0	0.0	0.09966631978750229	0.8677965998649597
5000	0.002553435042500496	0.007331623677164317	5e-06	1770721343	395.0	0.0	0.0	0.09966631978750229	0.8677965998649597
5050	0.0028179651126265526	0.006476456458622124	5e-06	1770721348	734.5	0.0	0.0	0.09966631978750229	0.8677965998649597
