step	loss	lr	ts
50	1.0541446208953857	5.000000000000001e-07	1765811872
100	0.998441755771637	1.0000000000000002e-06	1765811878
50	0.3258991837501526	1e-05	1765981280
100	0.24120822548866272	1e-05	1765981285
150	0.25199419260025024	1e-05	1765981290
200	0.2794569134712219	1e-05	1765981295
250	0.2524082660675049	1e-05	1765981300
300	0.22067439556121826	1e-05	1765981305
350	0.28600963950157166	1e-05	1765981310
400	0.2738690972328186	1e-05	1765981315
450	0.15132088959217072	1e-05	1765981321
500	0.12885083258152008	1e-05	1765981326
550	0.306003212928772	1e-05	1765981331
600	0.17517299950122833	1e-05	1765981336
650	0.17895598709583282	1e-05	1765981341
700	0.09246432781219482	1e-05	1765981346
750	0.21564103662967682	1e-05	1765981351
800	0.18158839643001556	1e-05	1765981356
850	0.2611815929412842	1e-05	1765981361
900	0.23016557097434998	1e-05	1765981366
950	0.24588795006275177	1e-05	1765981371
1000	0.18751773238182068	1e-05	1765981376
1050	0.284814715385437	1e-05	1765981382
1100	0.27922582626342773	1e-05	1765981387
1150	0.22695007920265198	1e-05	1765981392
1200	0.2481376826763153	1e-05	1765981397
1250	0.2358378767967224	1e-05	1765981402
1300	0.2452872097492218	1e-05	1765981407
1350	0.19731885194778442	1e-05	1765981412
1400	0.19736169278621674	1e-05	1765981417
1450	0.1957821249961853	1e-05	1765981423
1500	0.20846563577651978	1e-05	1765981428
1550	0.1470121294260025	1e-05	1765981433
1600	0.14609593152999878	1e-05	1765981438
1650	0.25169795751571655	1e-05	1765981444
1700	0.1490984559059143	1e-05	1765981449
1750	0.23952192068099976	1e-05	1765981454
1800	0.12941043078899384	1e-05	1765981459
1850	0.15083493292331696	1e-05	1765981464
1900	0.1653660535812378	1e-05	1765981469
1950	0.26640433073043823	1e-05	1765981474
2000	0.1767599880695343	1e-05	1765981479
2050	0.25251704454421997	1e-05	1765981484
2100	0.271476686000824	1e-05	1765981489
2150	0.23655791580677032	1e-05	1765981494
2200	0.27272987365722656	1e-05	1765981500
2250	0.2634836733341217	1e-05	1765981505
2300	0.29702281951904297	1e-05	1765981510
2350	0.1556357741355896	1e-05	1765981515
2400	0.21162691712379456	1e-05	1765981520
2450	0.30463266372680664	1e-05	1765981525
2500	0.28820306062698364	1e-05	1765981530
2550	0.17042531073093414	1e-05	1765981535
2600	0.2745654582977295	1e-05	1765981540
2650	0.1594267636537552	1e-05	1765981545
2700	0.25921642780303955	1e-05	1765981550
2750	0.16918356716632843	1e-05	1765981556
2800	0.25970619916915894	1e-05	1765981561
2850	0.14489461481571198	1e-05	1765981566
2900	0.28044211864471436	1e-05	1765981571
2950	0.17699585855007172	1e-05	1765981576
3000	0.18087363243103027	1e-05	1765981581
3050	0.23275667428970337	1e-05	1765981586
3100	0.12383250892162323	1e-05	1765981591
3150	0.1740705668926239	1e-05	1765981597
3200	0.16958165168762207	1e-05	1765981602
3250	0.1852048933506012	1e-05	1765981607
3300	0.1517658233642578	1e-05	1765981612
3350	0.28591206669807434	1e-05	1765981617
3400	0.07959745824337006	1e-05	1765981622
3450	0.20265933871269226	1e-05	1765981627
3500	0.17085424065589905	1e-05	1765981632
3550	0.19013485312461853	1e-05	1765981637
3600	0.28043973445892334	1e-05	1765981642
3650	0.17259785532951355	1e-05	1765981648
3700	0.25627774000167847	1e-05	1765981653
3750	0.20839175581932068	1e-05	1765981658
3800	0.30122917890548706	1e-05	1765981663
3850	0.1161390095949173	1e-05	1765981668
3900	0.08600825071334839	1e-05	1765981673
3950	0.0681912750005722	1e-05	1765981678
4000	0.3164268136024475	1e-05	1765981683
4050	0.1866486370563507	1e-05	1765981689
4100	0.17394329607486725	1e-05	1765981694
4150	0.09282132983207703	1e-05	1765981699
4200	0.10041655600070953	1e-05	1765981704
4250	0.11193028092384338	1e-05	1765981709
4300	0.32289430499076843	1e-05	1765981714
4350	0.26533254981040955	1e-05	1765981719
4400	0.2450043261051178	1e-05	1765981724
4450	0.2701166272163391	1e-05	1765981730
4500	0.14713776111602783	1e-05	1765981735
4550	0.08967328816652298	1e-05	1765981740
4600	0.21501527726650238	1e-05	1765981745
4650	0.31542685627937317	1e-05	1765981750
4700	0.16324399411678314	1e-05	1765981755
4750	0.20718078315258026	1e-05	1765981760
4800	0.23279887437820435	1e-05	1765981765
4850	0.18045645952224731	1e-05	1765981770
4900	0.26843878626823425	1e-05	1765981775
4950	0.37575334310531616	1e-05	1765981780
5000	0.1755216419696808	1e-05	1765981785
