2025-12-05 19:42:45 | [VAE] loaded from ./experiments/new_train_vae/final
2025-12-05 19:42:46 | [UNet] sample_size=32, in=1, out=1
2025-12-05 19:42:46 | [DATA] train_dir=./train_data_cont | N=1600 | image_size=256
2025-12-05 19:42:54 | [ENC] cond mean=[23945.296875, 12078.5654296875], std=[730.6349487304688, 4146.70849609375]
2025-12-05 19:42:54 | [OPT] lr=1e-05, max_steps=20000, warmup=1000
2025-12-05 19:43:02 | step 50/20000 | loss 0.9796
2025-12-05 19:43:07 | step 100/20000 | loss 0.8284
2025-12-05 19:43:12 | step 150/20000 | loss 0.6021
2025-12-05 19:43:17 | step 200/20000 | loss 0.3538
2025-12-05 19:43:22 | step 250/20000 | loss 0.3560
2025-12-05 19:43:28 | step 300/20000 | loss 0.2613
2025-12-05 19:43:33 | step 350/20000 | loss 0.1929
2025-12-05 19:43:38 | step 400/20000 | loss 0.2116
2025-12-05 19:43:44 | step 450/20000 | loss 0.3068
2025-12-05 19:43:49 | step 500/20000 | loss 0.4449
2025-12-05 19:43:54 | step 550/20000 | loss 0.1220
2025-12-05 19:43:59 | step 600/20000 | loss 0.3028
2025-12-05 19:44:04 | step 650/20000 | loss 0.1925
2025-12-05 19:44:10 | step 700/20000 | loss 0.6027
2025-12-05 19:44:15 | step 750/20000 | loss 0.1603
2025-12-05 19:44:20 | step 800/20000 | loss 0.2577
2025-12-05 19:44:26 | step 850/20000 | loss 0.2411
2025-12-05 19:44:31 | step 900/20000 | loss 0.1964
2025-12-05 19:44:36 | step 950/20000 | loss 0.1209
2025-12-05 19:44:41 | step 1000/20000 | loss 0.2812
2025-12-05 19:44:42 | [SAVE] unet_step1000.pt + numeric_enc_step1000.pt
2025-12-05 19:44:47 | step 1050/20000 | loss 0.0908
2025-12-05 19:44:52 | step 1100/20000 | loss 0.1910
2025-12-05 19:44:57 | step 1150/20000 | loss 0.3104
2025-12-05 19:45:02 | step 1200/20000 | loss 0.1418
2025-12-05 19:45:08 | step 1250/20000 | loss 0.2024
2025-12-05 19:45:13 | step 1300/20000 | loss 0.1188
2025-12-05 19:45:18 | step 1350/20000 | loss 0.2111
2025-12-05 19:45:24 | step 1400/20000 | loss 0.3786
2025-12-05 19:45:29 | step 1450/20000 | loss 0.2151
2025-12-05 19:45:34 | step 1500/20000 | loss 0.1634
2025-12-05 19:45:39 | step 1550/20000 | loss 0.2280
2025-12-05 19:45:44 | step 1600/20000 | loss 0.2505
2025-12-05 19:45:49 | step 1650/20000 | loss 0.1433
2025-12-05 19:45:55 | step 1700/20000 | loss 0.1405
2025-12-05 19:46:00 | step 1750/20000 | loss 0.1857
2025-12-05 19:46:05 | step 1800/20000 | loss 0.2879
2025-12-05 19:46:10 | step 1850/20000 | loss 0.2413
2025-12-05 19:46:15 | step 1900/20000 | loss 0.1845
2025-12-05 19:46:20 | step 1950/20000 | loss 0.1093
2025-12-05 19:46:25 | step 2000/20000 | loss 0.1937
2025-12-05 19:46:25 | [SAVE] unet_step2000.pt + numeric_enc_step2000.pt
2025-12-05 19:46:31 | step 2050/20000 | loss 0.0832
2025-12-05 19:46:36 | step 2100/20000 | loss 0.0474
2025-12-05 19:46:41 | step 2150/20000 | loss 0.0768
2025-12-05 19:46:46 | step 2200/20000 | loss 0.0864
2025-12-05 19:46:52 | step 2250/20000 | loss 0.0638
2025-12-05 19:46:57 | step 2300/20000 | loss 0.0711
2025-12-05 19:47:02 | step 2350/20000 | loss 0.2152
2025-12-05 19:47:07 | step 2400/20000 | loss 0.0861
2025-12-05 19:47:13 | step 2450/20000 | loss 0.0763
2025-12-05 19:47:18 | step 2500/20000 | loss 0.0779
2025-12-05 19:47:23 | step 2550/20000 | loss 0.1352
2025-12-05 19:47:29 | step 2600/20000 | loss 0.0912
2025-12-05 19:47:34 | step 2650/20000 | loss 0.1910
2025-12-05 19:47:39 | step 2700/20000 | loss 0.1641
2025-12-05 19:47:45 | step 2750/20000 | loss 0.1989
2025-12-05 19:47:50 | step 2800/20000 | loss 0.1137
2025-12-05 19:47:55 | step 2850/20000 | loss 0.0952
2025-12-05 19:48:01 | step 2900/20000 | loss 0.0935
2025-12-05 19:48:06 | step 2950/20000 | loss 0.0692
2025-12-05 19:48:11 | step 3000/20000 | loss 0.1712
2025-12-05 19:48:12 | [SAVE] unet_step3000.pt + numeric_enc_step3000.pt
2025-12-05 19:48:17 | step 3050/20000 | loss 0.0867
2025-12-05 19:48:22 | step 3100/20000 | loss 0.3253
2025-12-05 19:48:27 | step 3150/20000 | loss 0.2242
2025-12-05 19:48:32 | step 3200/20000 | loss 0.1185
2025-12-05 19:48:38 | step 3250/20000 | loss 0.3076
2025-12-05 19:48:43 | step 3300/20000 | loss 0.2321
2025-12-05 19:48:48 | step 3350/20000 | loss 0.0538
2025-12-05 19:48:53 | step 3400/20000 | loss 0.4221
2025-12-05 19:48:59 | step 3450/20000 | loss 0.2476
2025-12-05 19:49:04 | step 3500/20000 | loss 0.1732
2025-12-05 19:49:09 | step 3550/20000 | loss 0.1531
2025-12-05 19:49:15 | step 3600/20000 | loss 0.0906
2025-12-05 19:49:20 | step 3650/20000 | loss 0.3406
2025-12-05 19:49:25 | step 3700/20000 | loss 0.1666
2025-12-05 19:49:31 | step 3750/20000 | loss 0.1267
2025-12-05 19:49:36 | step 3800/20000 | loss 0.0481
2025-12-05 19:49:41 | step 3850/20000 | loss 0.1487
2025-12-05 19:49:46 | step 3900/20000 | loss 0.1767
2025-12-05 19:49:52 | step 3950/20000 | loss 0.3471
2025-12-05 19:49:57 | step 4000/20000 | loss 0.0510
2025-12-05 19:49:57 | [SAVE] unet_step4000.pt + numeric_enc_step4000.pt
2025-12-05 19:50:03 | step 4050/20000 | loss 0.1334
2025-12-05 19:50:08 | step 4100/20000 | loss 0.1655
2025-12-05 19:50:13 | step 4150/20000 | loss 0.1657
2025-12-05 19:50:18 | step 4200/20000 | loss 0.3357
2025-12-05 19:50:24 | step 4250/20000 | loss 0.2518
2025-12-05 19:50:29 | step 4300/20000 | loss 0.0146
2025-12-05 19:50:34 | step 4350/20000 | loss 0.0334
2025-12-05 19:50:39 | step 4400/20000 | loss 0.1114
2025-12-05 19:50:45 | step 4450/20000 | loss 0.0530
2025-12-05 19:50:50 | step 4500/20000 | loss 0.0946
2025-12-05 19:50:55 | step 4550/20000 | loss 0.1938
2025-12-05 19:51:00 | step 4600/20000 | loss 0.1798
2025-12-05 19:51:06 | step 4650/20000 | loss 0.0723
2025-12-05 19:51:11 | step 4700/20000 | loss 0.0928
2025-12-05 19:51:16 | step 4750/20000 | loss 0.1318
2025-12-05 19:51:21 | step 4800/20000 | loss 0.1046
2025-12-05 19:51:27 | step 4850/20000 | loss 0.1752
2025-12-05 19:51:32 | step 4900/20000 | loss 0.0406
2025-12-05 19:51:37 | step 4950/20000 | loss 0.0455
2025-12-05 19:51:42 | step 5000/20000 | loss 0.1540
2025-12-05 19:51:43 | [SAVE] unet_step5000.pt + numeric_enc_step5000.pt
2025-12-05 19:51:48 | step 5050/20000 | loss 0.2049
2025-12-05 19:51:53 | step 5100/20000 | loss 0.0735
2025-12-05 19:51:58 | step 5150/20000 | loss 0.1839
2025-12-05 19:52:04 | step 5200/20000 | loss 0.0914
2025-12-05 19:52:09 | step 5250/20000 | loss 0.2185
2025-12-05 19:52:14 | step 5300/20000 | loss 0.2095
2025-12-05 19:52:19 | step 5350/20000 | loss 0.1268
2025-12-05 19:52:24 | step 5400/20000 | loss 0.0901
2025-12-05 19:52:29 | step 5450/20000 | loss 0.1757
2025-12-05 19:52:34 | step 5500/20000 | loss 0.0908
2025-12-05 19:52:40 | step 5550/20000 | loss 0.1595
2025-12-05 19:52:45 | step 5600/20000 | loss 0.0746
2025-12-05 19:52:50 | step 5650/20000 | loss 0.2079
2025-12-05 19:52:55 | step 5700/20000 | loss 0.1886
2025-12-05 19:53:01 | step 5750/20000 | loss 0.1643
2025-12-05 19:53:06 | step 5800/20000 | loss 0.0641
2025-12-05 19:53:11 | step 5850/20000 | loss 0.2004
2025-12-05 19:53:16 | step 5900/20000 | loss 0.1129
2025-12-05 19:53:22 | step 5950/20000 | loss 0.1527
2025-12-05 19:53:27 | step 6000/20000 | loss 0.2154
2025-12-05 19:53:27 | [SAVE] unet_step6000.pt + numeric_enc_step6000.pt
2025-12-05 19:53:32 | step 6050/20000 | loss 0.2101
2025-12-05 19:53:38 | step 6100/20000 | loss 0.1233
2025-12-05 19:53:43 | step 6150/20000 | loss 0.1707
2025-12-05 19:53:48 | step 6200/20000 | loss 0.1793
2025-12-05 19:53:53 | step 6250/20000 | loss 0.0408
2025-12-05 19:53:58 | step 6300/20000 | loss 0.1814
2025-12-05 19:54:03 | step 6350/20000 | loss 0.0439
2025-12-05 19:54:09 | step 6400/20000 | loss 0.1030
2025-12-05 19:54:14 | step 6450/20000 | loss 0.0601
2025-12-05 19:54:19 | step 6500/20000 | loss 0.2572
2025-12-05 19:54:24 | step 6550/20000 | loss 0.2576
2025-12-05 19:54:29 | step 6600/20000 | loss 0.0407
2025-12-05 19:54:35 | step 6650/20000 | loss 0.0948
2025-12-05 19:54:40 | step 6700/20000 | loss 0.0830
2025-12-05 19:54:45 | step 6750/20000 | loss 0.1416
2025-12-05 19:54:50 | step 6800/20000 | loss 0.3238
2025-12-05 19:54:56 | step 6850/20000 | loss 0.2823
2025-12-05 19:55:01 | step 6900/20000 | loss 0.3347
2025-12-05 19:55:06 | step 6950/20000 | loss 0.2345
2025-12-05 19:55:11 | step 7000/20000 | loss 0.1522
2025-12-05 19:55:11 | [SAVE] unet_step7000.pt + numeric_enc_step7000.pt
2025-12-05 19:55:17 | step 7050/20000 | loss 0.2153
2025-12-05 19:55:22 | step 7100/20000 | loss 0.0637
2025-12-05 19:55:27 | step 7150/20000 | loss 0.1340
2025-12-05 19:55:33 | step 7200/20000 | loss 0.1515
2025-12-05 19:55:38 | step 7250/20000 | loss 0.1651
2025-12-05 19:55:43 | step 7300/20000 | loss 0.1401
2025-12-05 19:55:48 | step 7350/20000 | loss 0.1424
2025-12-05 19:55:54 | step 7400/20000 | loss 0.0382
2025-12-05 19:55:59 | step 7450/20000 | loss 0.2241
2025-12-05 19:56:04 | step 7500/20000 | loss 0.0503
2025-12-05 19:56:10 | step 7550/20000 | loss 0.1656
2025-12-05 19:56:15 | step 7600/20000 | loss 0.0872
2025-12-05 19:56:20 | step 7650/20000 | loss 0.0994
2025-12-05 19:56:26 | step 7700/20000 | loss 0.2124
2025-12-05 19:56:31 | step 7750/20000 | loss 0.2734
2025-12-05 19:56:36 | step 7800/20000 | loss 0.0242
2025-12-05 19:56:41 | step 7850/20000 | loss 0.2982
2025-12-05 19:56:46 | step 7900/20000 | loss 0.2495
2025-12-05 19:56:51 | step 7950/20000 | loss 0.1316
2025-12-05 19:56:57 | step 8000/20000 | loss 0.0401
2025-12-05 19:56:57 | [SAVE] unet_step8000.pt + numeric_enc_step8000.pt
2025-12-05 19:57:02 | step 8050/20000 | loss 0.2274
2025-12-05 19:57:08 | step 8100/20000 | loss 0.3833
2025-12-05 19:57:13 | step 8150/20000 | loss 0.1453
2025-12-05 19:57:18 | step 8200/20000 | loss 0.1891
2025-12-05 19:57:23 | step 8250/20000 | loss 0.1189
2025-12-05 19:57:28 | step 8300/20000 | loss 0.0738
2025-12-05 19:57:34 | step 8350/20000 | loss 0.1693
2025-12-05 19:57:39 | step 8400/20000 | loss 0.1617
2025-12-05 19:57:44 | step 8450/20000 | loss 0.1919
2025-12-05 19:57:50 | step 8500/20000 | loss 0.2193
2025-12-05 19:57:55 | step 8550/20000 | loss 0.1380
2025-12-05 19:58:00 | step 8600/20000 | loss 0.1592
2025-12-05 19:58:05 | step 8650/20000 | loss 0.1067
2025-12-05 19:58:11 | step 8700/20000 | loss 0.0452
2025-12-05 19:58:16 | step 8750/20000 | loss 0.1789
2025-12-05 19:58:21 | step 8800/20000 | loss 0.1692
2025-12-05 19:58:26 | step 8850/20000 | loss 0.0983
2025-12-05 19:58:32 | step 8900/20000 | loss 0.1022
2025-12-05 19:58:37 | step 8950/20000 | loss 0.0658
2025-12-05 19:58:42 | step 9000/20000 | loss 0.2195
2025-12-05 19:58:42 | [SAVE] unet_step9000.pt + numeric_enc_step9000.pt
2025-12-05 19:58:47 | step 9050/20000 | loss 0.0972
2025-12-05 19:58:53 | step 9100/20000 | loss 0.1083
2025-12-05 19:58:58 | step 9150/20000 | loss 0.1329
2025-12-05 19:59:03 | step 9200/20000 | loss 0.0898
2025-12-05 19:59:09 | step 9250/20000 | loss 0.2088
2025-12-05 19:59:14 | step 9300/20000 | loss 0.0576
2025-12-05 19:59:20 | step 9350/20000 | loss 0.1061
2025-12-05 19:59:25 | step 9400/20000 | loss 0.0830
2025-12-05 19:59:30 | step 9450/20000 | loss 0.1437
2025-12-05 19:59:35 | step 9500/20000 | loss 0.1374
2025-12-05 19:59:41 | step 9550/20000 | loss 0.0614
2025-12-05 19:59:46 | step 9600/20000 | loss 0.1522
2025-12-05 19:59:52 | step 9650/20000 | loss 0.0719
2025-12-05 19:59:57 | step 9700/20000 | loss 0.0927
2025-12-05 20:00:02 | step 9750/20000 | loss 0.0718
2025-12-05 20:00:08 | step 9800/20000 | loss 0.0373
2025-12-05 20:00:13 | step 9850/20000 | loss 0.1909
2025-12-05 20:00:18 | step 9900/20000 | loss 0.3418
2025-12-05 20:00:23 | step 9950/20000 | loss 0.1515
2025-12-05 20:00:28 | step 10000/20000 | loss 0.3108
2025-12-05 20:00:28 | [SAVE] unet_step10000.pt + numeric_enc_step10000.pt
2025-12-05 20:00:34 | step 10050/20000 | loss 0.1143
2025-12-05 20:00:39 | step 10100/20000 | loss 0.1920
2025-12-05 20:00:45 | step 10150/20000 | loss 0.1944
2025-12-05 20:00:50 | step 10200/20000 | loss 0.0819
2025-12-05 20:00:55 | step 10250/20000 | loss 0.1682
2025-12-05 20:01:00 | step 10300/20000 | loss 0.0824
2025-12-05 20:01:05 | step 10350/20000 | loss 0.1178
2025-12-05 20:01:10 | step 10400/20000 | loss 0.1967
2025-12-05 20:01:16 | step 10450/20000 | loss 0.1712
2025-12-05 20:01:21 | step 10500/20000 | loss 0.1408
2025-12-05 20:01:26 | step 10550/20000 | loss 0.1090
2025-12-05 20:01:31 | step 10600/20000 | loss 0.1707
2025-12-05 20:01:36 | step 10650/20000 | loss 0.0564
2025-12-05 20:01:42 | step 10700/20000 | loss 0.0417
2025-12-05 20:01:47 | step 10750/20000 | loss 0.2263
2025-12-05 20:01:52 | step 10800/20000 | loss 0.1147
2025-12-05 20:01:57 | step 10850/20000 | loss 0.2385
2025-12-05 20:02:03 | step 10900/20000 | loss 0.0771
2025-12-05 20:02:08 | step 10950/20000 | loss 0.0972
2025-12-05 20:02:13 | step 11000/20000 | loss 0.1506
2025-12-05 20:02:13 | [SAVE] unet_step11000.pt + numeric_enc_step11000.pt
2025-12-05 20:02:18 | step 11050/20000 | loss 0.0596
2025-12-05 20:02:23 | step 11100/20000 | loss 0.0936
2025-12-05 20:02:28 | step 11150/20000 | loss 0.2024
2025-12-05 20:02:34 | step 11200/20000 | loss 0.1011
2025-12-05 20:02:39 | step 11250/20000 | loss 0.3193
2025-12-05 20:02:44 | step 11300/20000 | loss 0.2572
2025-12-05 20:02:49 | step 11350/20000 | loss 0.0936
2025-12-05 20:02:55 | step 11400/20000 | loss 0.1089
2025-12-05 20:03:00 | step 11450/20000 | loss 0.0723
2025-12-05 20:03:05 | step 11500/20000 | loss 0.1549
2025-12-05 20:03:10 | step 11550/20000 | loss 0.1738
2025-12-05 20:03:15 | step 11600/20000 | loss 0.2045
2025-12-05 20:03:21 | step 11650/20000 | loss 0.2585
2025-12-05 20:03:26 | step 11700/20000 | loss 0.1833
2025-12-05 20:03:32 | step 11750/20000 | loss 0.1352
2025-12-05 20:03:37 | step 11800/20000 | loss 0.1344
2025-12-05 20:03:42 | step 11850/20000 | loss 0.1066
2025-12-05 20:03:47 | step 11900/20000 | loss 0.0980
2025-12-05 20:03:52 | step 11950/20000 | loss 0.1622
2025-12-05 20:03:57 | step 12000/20000 | loss 0.1886
2025-12-05 20:03:58 | [SAVE] unet_step12000.pt + numeric_enc_step12000.pt
2025-12-05 20:04:03 | step 12050/20000 | loss 0.1840
2025-12-05 20:04:09 | step 12100/20000 | loss 0.0917
2025-12-05 20:04:14 | step 12150/20000 | loss 0.0539
2025-12-05 20:04:19 | step 12200/20000 | loss 0.3238
2025-12-05 20:04:24 | step 12250/20000 | loss 0.1015
2025-12-05 20:04:29 | step 12300/20000 | loss 0.0639
2025-12-05 20:04:35 | step 12350/20000 | loss 0.0906
2025-12-05 20:04:40 | step 12400/20000 | loss 0.0777
2025-12-05 20:04:45 | step 12450/20000 | loss 0.0850
2025-12-05 20:04:50 | step 12500/20000 | loss 0.3564
2025-12-05 20:04:56 | step 12550/20000 | loss 0.3015
2025-12-05 20:05:01 | step 12600/20000 | loss 0.1728
2025-12-05 20:05:06 | step 12650/20000 | loss 0.2352
2025-12-05 20:05:12 | step 12700/20000 | loss 0.0415
2025-12-05 20:05:17 | step 12750/20000 | loss 0.1596
2025-12-05 20:05:22 | step 12800/20000 | loss 0.1342
2025-12-05 20:05:28 | step 12850/20000 | loss 0.0964
2025-12-05 20:05:33 | step 12900/20000 | loss 0.1813
2025-12-05 20:05:38 | step 12950/20000 | loss 0.1093
2025-12-05 20:05:44 | step 13000/20000 | loss 0.1308
2025-12-05 20:05:44 | [SAVE] unet_step13000.pt + numeric_enc_step13000.pt
2025-12-05 20:05:49 | step 13050/20000 | loss 0.1055
2025-12-05 20:05:55 | step 13100/20000 | loss 0.2079
2025-12-05 20:06:00 | step 13150/20000 | loss 0.1193
2025-12-05 20:06:05 | step 13200/20000 | loss 0.0112
2025-12-05 20:06:10 | step 13250/20000 | loss 0.0935
2025-12-05 20:06:15 | step 13300/20000 | loss 0.2455
2025-12-05 20:06:21 | step 13350/20000 | loss 0.1595
2025-12-05 20:06:26 | step 13400/20000 | loss 0.0966
