step	loss	lr	ts
50	0.38287466764450073	5e-06	1762443087
100	0.12412407249212265	1e-05	1762443102
150	0.06477635353803635	1.5e-05	1762443117
200	0.04056769609451294	2e-05	1762443133
250	0.029867786914110184	2.5e-05	1762443148
300	0.027059178799390793	3e-05	1762443163
350	0.026296287775039673	3.5e-05	1762443178
400	0.15279313921928406	4e-05	1762443193
450	0.02727554365992546	4.5e-05	1762443209
500	0.021148929372429848	5e-05	1762443224
550	0.01871909201145172	4.999987412513878e-05	1762443239
600	0.020646531134843826	4.999949650182266e-05	1762443254
650	0.015733081847429276	4.999886713385432e-05	1762443269
700	0.021190335974097252	4.9997986027571485e-05	1762443284
750	0.04141416400671005	4.9996853191846885e-05	1762443300
800	0.09297187626361847	4.999546863808815e-05	1762443315
850	0.010408335365355015	4.9993832380237735e-05	1762443330
900	0.011821415275335312	4.9991944434772734e-05	1762443346
950	0.03473246470093727	4.9989804820704735e-05	1762443361
1000	0.015603628009557724	4.9987413559579636e-05	1762443376
1050	0.03522359952330589	4.99847706754774e-05	1762443391
1100	0.011556481942534447	4.9981876195011844e-05	1762443406
1150	0.019285740330815315	4.9978730147330355e-05	1762443422
1200	0.0214712955057621	4.99753325641136e-05	1762443437
1250	0.00655378820374608	4.99716834795752e-05	1762443452
1300	0.020843572914600372	4.996778293046141e-05	1762443467
1350	0.01558587048202753	4.996363095605069e-05	1762443483
1400	0.039710305631160736	4.995922759815339e-05	1762443500
1450	0.01762811467051506	4.9954572901111286e-05	1762443515
1500	0.01586311310529709	4.994966691179711e-05	1762443530
1550	0.024761119857430458	4.994450967961413e-05	1762443547
1600	0.02123052440583706	4.993910125649561e-05	1762443562
1650	0.011995247565209866	4.993344169690431e-05	1762443578
1700	0.013861976563930511	4.992753105783194e-05	1762443595
1750	0.014418939128518105	4.992136939879856e-05	1762443610
1800	0.013128460384905338	4.991495678185202e-05	1762443625
1850	0.01397927850484848	4.9908293271567286e-05	1762443641
1900	0.024480300024151802	4.990137893504585e-05	1762443657
1950	0.008979544043540955	4.989421384191499e-05	1762443673
2000	0.013349602930247784	4.988679806432712e-05	1762443688
2050	0.017797891050577164	4.987913167695904e-05	1762443705
2100	0.020423343405127525	4.9871214757011176e-05	1762443720
2150	0.010292821563780308	4.9863047384206835e-05	1762443736
2200	0.0146461958065629	4.985462964079137e-05	1762443753
2250	0.01512843370437622	4.984596161153136e-05	1762443768
2300	0.017445513978600502	4.9837043383713753e-05	1762443783
2350	0.015355711802840233	4.982787504714503e-05	1762443800
2400	0.01735234633088112	4.981845669415022e-05	1762443815
2450	0.01087319664657116	4.980878841957203e-05	1762443831
2500	0.021228356286883354	4.9798870320769886e-05	1762443848
2550	0.01952195167541504	4.978870249761893e-05	1762443863
2600	0.018308237195014954	4.977828505250903e-05	1762443878
2650	0.009949986822903156	4.9767618090343745e-05	1762443895
2700	0.025025442242622375	4.975670171853926e-05	1762443911
2750	0.016949456185102463	4.9745536047023324e-05	1762443926
2800	0.02359764277935028	4.973412118823412e-05	1762443941
2850	0.014676198363304138	4.972245725711914e-05	1762443957
2900	0.006329623982310295	4.971054437113406e-05	1762443974
2950	0.012420260347425938	4.969838265024151e-05	1762443989
3000	0.01692107506096363	4.968597221690986e-05	1762444004
3050	0.012886879965662956	4.967331319611206e-05	1762444020
3100	0.008397313766181469	4.96604057153243e-05	1762444035
3150	0.003844667924568057	4.964724990452476e-05	1762444050
3200	0.03170962259173393	4.963384589619233e-05	1762444065
3250	0.0046753063797950745	4.962019382530521e-05	1762444081
3300	0.003425436094403267	4.9606293829339595e-05	1762444096
3350	0.011054002679884434	4.959214604826831e-05	1762444112
3400	0.01583005115389824	4.957775062455933e-05	1762444146
3450	0.006325768306851387	4.9563107703174436e-05	1762444179
3500	0.012515706941485405	4.9548217431567665e-05	1762444213
3550	0.006143704056739807	4.95330799596839e-05	1762444246
3600	0.01105520874261856	4.951769543995731e-05	1762444280
3650	0.011467684991657734	4.9502064027309836e-05	1762444313
3700	0.014180086553096771	4.948618587914963e-05	1762444345
3750	0.003809005720540881	4.947006115536947e-05	1762444378
3800	0.010467054322361946	4.9453690018345144e-05	1762444412
3850	0.011306742206215858	4.9437072632933814e-05	1762444445
3900	0.007362757343798876	4.942020916647238e-05	1762444478
3950	0.03788825869560242	4.9403099788775754e-05	1762444512
4000	0.00629489216953516	4.938574467213518e-05	1762444545
4050	0.00997418724000454	4.936814399131648e-05	1762444568
4100	0.007866582833230495	4.935029792355834e-05	1762444583
4150	0.011377568356692791	4.933220664857044e-05	1762444599
4200	0.008560718968510628	4.931387034853173e-05	1762444614
4250	0.01575409062206745	4.929528920808854e-05	1762444629
4300	0.008034689351916313	4.9276463414352757e-05	1762444644
4350	0.00845700316131115	4.925739315689991e-05	1762444659
4400	0.01499889325350523	4.923807862776728e-05	1762444674
4450	0.006295053754001856	4.921852002145196e-05	1762444690
4500	0.013373035937547684	4.919871753490891e-05	1762444705
4550	0.006030900403857231	4.917867136754893e-05	1762444720
4600	0.012367216870188713	4.915838172123671e-05	1762444735
4650	0.011278192512691021	4.913784880028878e-05	1762444750
4700	0.010720863938331604	4.91170728114714e-05	1762444766
4750	0.002979594748467207	4.909605396399856e-05	1762444781
4800	0.014209079556167126	4.9074792469529815e-05	1762444796
4850	0.010391341522336006	4.9053288542168185e-05	1762444811
4900	0.015742149204015732	4.9031542398457974e-05	1762444827
4950	0.014202387072145939	4.9009554257382616e-05	1762444842
5000	0.012546401470899582	4.898732434036244e-05	1762444857
5050	0.005879002157598734	4.896485287125246e-05	1762444872
5100	0.027629457414150238	4.8942140076340135e-05	1762444887
5150	0.01618952862918377	4.8919186184343046e-05	1762444902
5200	0.009263535961508751	4.889599142640663e-05	1762444918
5250	0.01278673019260168	4.887255603610185e-05	1762444933
5300	0.011336585506796837	4.8848880249422815e-05	1762444948
5350	0.020222513005137444	4.8824964304784446e-05	1762444963
5400	0.0028340155258774757	4.880080844302004e-05	1762444979
5450	0.021662987768650055	4.877641290737884e-05	1762444994
5500	0.013013385236263275	4.8751777943523634e-05	1762445009
5550	0.004945037886500359	4.8726903799528234e-05	1762445024
5600	0.004475459456443787	4.870179072587499e-05	1762445039
5650	0.006060849409550428	4.8676438975452274e-05	1762445055
5700	0.005784851033240557	4.865084880355193e-05	1762445070
5750	0.012697776779532433	4.862502046786671e-05	1762445085
5800	0.005308952182531357	4.859895422848767e-05	1762445100
5850	0.016423752531409264	4.8572650347901544e-05	1762445116
5900	0.007399755995720625	4.854610909098812e-05	1762445131
5950	0.010919701308012009	4.851933072501756e-05	1762445146
6000	0.005878830328583717	4.849231551964771e-05	1762445161
6050	0.011742742732167244	4.8465063746921395e-05	1762445177
6100	0.01275123655796051	4.8437575681263656e-05	1762445192
6150	0.013347657397389412	4.8409851599479015e-05	1762445207
6200	0.010840856470167637	4.838189178074867e-05	1762445222
6250	0.00956975668668747	4.835369650662767e-05	1762445238
6300	0.027714736759662628	4.832526606104213e-05	1762445253
6350	0.02633361890912056	4.829660073028631e-05	1762445268
6400	0.009019028395414352	4.826770080301978e-05	1762445283
6450	0.004010281525552273	4.823856657026448e-05	1762445299
6500	0.008714602328836918	4.8209198325401815e-05	1762445314
6550	0.010416754521429539	4.817959636416969e-05	1762445329
6600	0.008255690336227417	4.8149760984659506e-05	1762445344
6650	0.02004143036901951	4.811969248731323e-05	1762445359
6700	0.011885167099535465	4.8089391174920275e-05	1762445375
6750	0.014038227498531342	4.805885735261454e-05	1762445390
6800	0.007466861978173256	4.802809132787125e-05	1762445405
6850	0.009453874081373215	4.799709341050396e-05	1762445420
6900	0.00813952274620533	4.796586391266134e-05	1762445436
6950	0.008325595408678055	4.793440314882408e-05	1762445451
7000	0.009884797036647797	4.790271143580174e-05	1762445466
7050	0.00915094930678606	4.787078909272951e-05	1762445481
7100	0.008108006790280342	4.783863644106502e-05	1762445496
7150	0.013471736572682858	4.780625380458513e-05	1762445512
7200	0.006728939712047577	4.777364150938263e-05	1762445527
7250	0.010553259402513504	4.774079988386296e-05	1762445542
7300	0.009412345476448536	4.770772925874093e-05	1762445558
7350	0.004930870607495308	4.767442996703737e-05	1762445573
7400	0.009102958254516125	4.764090234407577e-05	1762445588
7450	0.018385887145996094	4.7607146727478935e-05	1762445603
7500	0.009132085368037224	4.7573163457165534e-05	1762445618
7550	0.009915170259773731	4.753895287534673e-05	1762445634
7600	0.005878356285393238	4.75045153265227e-05	1762445649
7650	0.008235510438680649	4.7469851157479177e-05	1762445664
7700	0.017838967964053154	4.743496071728396e-05	1762445679
7750	0.007437783293426037	4.7399844357283397e-05	1762445695
7800	0.005405937321484089	4.7364502431098844e-05	1762445710
7850	0.008490122854709625	4.73289352946231e-05	1762445725
7900	0.008110935799777508	4.7293143306016836e-05	1762445740
7950	0.01574462279677391	4.725712682570498e-05	1762445755
8000	0.013902232050895691	4.722088621637309e-05	1762445771
8050	0.005242001730948687	4.71844218429637e-05	1762445786
8100	0.00585858803242445	4.7147734072672644e-05	1762445802
8150	0.009230811148881912	4.711082327494536e-05	1762445817
8200	0.018319349735975266	4.707368982147318e-05	1762445832
8250	0.010232878848910332	4.7036334086189555e-05	1762445847
8300	0.004067744594067335	4.6998756445266336e-05	1762445862
8350	0.011143743991851807	4.696095727710994e-05	1762445877
8400	0.013284392654895782	4.692293696235758e-05	1762445893
8450	0.0040083895437419415	4.688469588387339e-05	1762445908
8500	0.01173738669604063	4.684623442674463e-05	1762445923
8550	0.00850050337612629	4.6807552978277725e-05	1762445939
8600	0.03376055136322975	4.6768651927994434e-05	1762445954
8650	0.010682385414838791	4.6729531667627905e-05	1762445969
8700	0.008175347000360489	4.6690192591118734e-05	1762445984
8750	0.01105070672929287	4.665063509461097e-05	1762445999
8800	0.014960907399654388	4.6610859576448176e-05	1762446015
8850	0.011225906200706959	4.657086643716936e-05	1762446030
8900	0.004906106740236282	4.653065607950502e-05	1762446045
8950	0.007441108115017414	4.649022890837298e-05	1762446061
9000	0.014050258323550224	4.644958533087443e-05	1762446076
9050	0.0191892609000206	4.640872575628973e-05	1762446091
9100	0.01067363191395998	4.636765059607434e-05	1762446106
9150	0.01741630584001541	4.632636026385468e-05	1762446121
9200	0.008806905709207058	4.628485517542392e-05	1762446137
9250	0.008659550920128822	4.6243135748737864e-05	1762446152
9300	0.012855831533670425	4.620120240391065e-05	1762446167
9350	0.007505155634135008	4.6159055563210604e-05	1762446183
9400	0.005644289776682854	4.611669565105596e-05	1762446198
9450	0.01002031285315752	4.607412309401054e-05	1762446213
9500	0.012946505099534988	4.6031338320779534e-05	1762446228
9550	0.009948553517460823	4.5988341762205125e-05	1762446243
9600	0.011077580973505974	4.594513385126218e-05	1762446259
9650	0.010689650662243366	4.59017150230539e-05	1762446274
9700	0.007070672698318958	4.5858085714807384e-05	1762446289
9750	0.017244208604097366	4.581424636586929e-05	1762446304
9800	0.006627941504120827	4.5770197417701365e-05	1762446320
9850	0.011111929081380367	4.572593931387604e-05	1762446335
9900	0.008341276086866856	4.568147250007193e-05	1762446350
9950	0.014885349199175835	4.563679742406935e-05	1762446365
10000	0.01129993051290512	4.559191453574582e-05	1762446381
10050	0.011563410982489586	4.554682428707153e-05	1762446396
10100	0.010456983000040054	4.550152713210478e-05	1762446411
10150	0.00834653340280056	4.545602352698742e-05	1762446427
10200	0.011262298561632633	4.5410313929940244e-05	1762446442
10250	0.010274915024638176	4.5364398801258396e-05	1762446457
10300	0.011903490871191025	4.53182786033067e-05	1762446472
10350	0.02587549015879631	4.527195380051505e-05	1762446487
10400	0.005654411390423775	4.522542485937369e-05	1762446503
