2025-12-05 10:23:38 | [VAE] loaded from /workspace/experiments/train_vae/final
2025-12-05 10:23:38 | [UNet] sample_size=32, in=1, out=1
2025-12-05 10:23:39 | [DATA] train_dir=/workspace/train_data_cont | N=1600 | image_size=256
2025-12-05 10:23:48 | [ENC] cond mean=[23945.296875, 12078.5654296875], std=[730.6349487304688, 4146.70849609375]
2025-12-05 10:23:48 | [OPT] lr=5e-05, max_steps=20000, warmup=1000
2025-12-05 10:24:12 | step 50/20000 | loss 0.9626
2025-12-05 10:24:17 | step 100/20000 | loss 0.8491
2025-12-05 10:24:22 | step 150/20000 | loss 0.7392
2025-12-05 10:24:28 | step 200/20000 | loss 0.4905
2025-12-05 10:24:33 | step 250/20000 | loss 0.6331
2025-12-05 10:24:38 | step 300/20000 | loss 0.6557
2025-12-05 10:24:43 | step 350/20000 | loss 0.4934
2025-12-05 10:24:48 | step 400/20000 | loss 0.4855
2025-12-05 10:24:54 | step 450/20000 | loss 0.7477
2025-12-05 10:24:59 | step 500/20000 | loss 0.8062
2025-12-05 10:25:04 | step 550/20000 | loss 0.3666
2025-12-05 10:25:09 | step 600/20000 | loss 0.7839
2025-12-05 10:25:14 | step 650/20000 | loss 0.4828
2025-12-05 10:25:19 | step 700/20000 | loss 0.7007
2025-12-05 10:25:25 | step 750/20000 | loss 0.5342
2025-12-05 10:25:29 | step 800/20000 | loss 0.5121
2025-12-05 10:25:35 | step 850/20000 | loss 0.4255
2025-12-05 10:25:40 | step 900/20000 | loss 0.3301
2025-12-05 10:25:45 | step 950/20000 | loss 0.2820
2025-12-05 10:25:51 | step 1000/20000 | loss 0.5681
2025-12-05 10:25:56 | step 1050/20000 | loss 0.4201
2025-12-05 10:26:01 | step 1100/20000 | loss 0.4573
2025-12-05 10:26:06 | step 1150/20000 | loss 0.6002
2025-12-05 10:26:11 | step 1200/20000 | loss 0.4086
2025-12-05 10:26:17 | step 1250/20000 | loss 0.4923
2025-12-05 10:26:22 | step 1300/20000 | loss 0.4163
2025-12-05 10:26:27 | step 1350/20000 | loss 0.4707
2025-12-05 10:26:32 | step 1400/20000 | loss 0.6124
2025-12-05 10:26:37 | step 1450/20000 | loss 0.6077
2025-12-05 10:26:42 | step 1500/20000 | loss 0.3426
2025-12-05 10:26:47 | step 1550/20000 | loss 0.5952
2025-12-05 10:26:53 | step 1600/20000 | loss 0.4485
2025-12-05 10:26:58 | step 1650/20000 | loss 0.3486
2025-12-05 10:27:03 | step 1700/20000 | loss 0.3658
