2025-12-03 17:38:03 | [VAE] loaded from /workspace/experiments/train_vae/final
2025-12-03 17:38:03 | [UNet] sample_size=32, in=1, out=1
2025-12-03 17:38:04 | [DATA] train_dir=/workspace/train_data_cont | N=1600 | image_size=256
2025-12-03 17:38:12 | [ENC] cond mean=[23945.296875, 12078.5654296875], std=[730.6349487304688, 4146.70849609375]
2025-12-03 17:38:12 | [OPT] lr=5e-05, max_steps=20000, warmup=1000
2025-12-03 17:38:21 | step 50/20000 | loss 0.9626
2025-12-03 17:38:26 | step 100/20000 | loss 0.8491
2025-12-03 17:38:31 | step 150/20000 | loss 0.7392
2025-12-03 17:38:37 | step 200/20000 | loss 0.4905
2025-12-03 17:38:42 | step 250/20000 | loss 0.6331
2025-12-03 17:38:47 | step 300/20000 | loss 0.6557
2025-12-03 17:38:52 | step 350/20000 | loss 0.4934
2025-12-03 17:38:57 | step 400/20000 | loss 0.4855
2025-12-03 17:39:03 | step 450/20000 | loss 0.7478
2025-12-03 17:39:08 | step 500/20000 | loss 0.8062
2025-12-03 17:39:13 | step 550/20000 | loss 0.3666
2025-12-03 17:39:18 | step 600/20000 | loss 0.7839
2025-12-03 17:39:23 | step 650/20000 | loss 0.4828
2025-12-03 17:39:28 | step 700/20000 | loss 0.7007
2025-12-03 17:39:33 | step 750/20000 | loss 0.5342
2025-12-03 17:39:38 | step 800/20000 | loss 0.5121
2025-12-03 17:39:44 | step 850/20000 | loss 0.4255
2025-12-03 17:39:49 | step 900/20000 | loss 0.3301
2025-12-03 17:39:55 | step 950/20000 | loss 0.2820
2025-12-03 17:40:00 | step 1000/20000 | loss 0.5681
2025-12-03 17:40:00 | [SAVE] unet_step1000.pt + numeric_enc_step1000.pt
2025-12-03 17:40:05 | step 1050/20000 | loss 0.4201
2025-12-03 17:40:10 | step 1100/20000 | loss 0.4573
2025-12-03 17:40:15 | step 1150/20000 | loss 0.6002
2025-12-03 17:40:20 | step 1200/20000 | loss 0.4086
2025-12-03 17:40:26 | step 1250/20000 | loss 0.4923
2025-12-03 17:40:31 | step 1300/20000 | loss 0.4163
2025-12-03 17:40:36 | step 1350/20000 | loss 0.4707
2025-12-03 17:40:42 | step 1400/20000 | loss 0.6124
2025-12-03 17:40:47 | step 1450/20000 | loss 0.6077
2025-12-03 17:40:52 | step 1500/20000 | loss 0.3426
2025-12-03 17:40:57 | step 1550/20000 | loss 0.5952
2025-12-03 17:41:02 | step 1600/20000 | loss 0.4485
2025-12-03 17:41:07 | step 1650/20000 | loss 0.3486
2025-12-03 17:41:12 | step 1700/20000 | loss 0.3658
2025-12-03 17:41:18 | step 1750/20000 | loss 0.4501
2025-12-03 17:41:23 | step 1800/20000 | loss 0.6984
2025-12-03 17:41:28 | step 1850/20000 | loss 0.6721
2025-12-03 17:41:33 | step 1900/20000 | loss 0.4449
2025-12-03 17:41:38 | step 1950/20000 | loss 0.5210
2025-12-03 17:41:44 | step 2000/20000 | loss 0.4117
2025-12-03 17:41:44 | [SAVE] unet_step2000.pt + numeric_enc_step2000.pt
2025-12-03 17:41:49 | step 2050/20000 | loss 0.2070
2025-12-03 17:41:54 | step 2100/20000 | loss 0.3008
2025-12-03 17:41:59 | step 2150/20000 | loss 0.1755
2025-12-03 17:42:05 | step 2200/20000 | loss 0.2216
2025-12-03 17:42:10 | step 2250/20000 | loss 0.2428
2025-12-03 17:42:15 | step 2300/20000 | loss 0.3279
2025-12-03 17:42:20 | step 2350/20000 | loss 0.5083
2025-12-03 17:42:25 | step 2400/20000 | loss 0.2873
2025-12-03 17:42:31 | step 2450/20000 | loss 0.2794
2025-12-03 17:42:36 | step 2500/20000 | loss 0.3111
2025-12-03 17:42:41 | step 2550/20000 | loss 0.4556
2025-12-03 17:42:47 | step 2600/20000 | loss 0.4621
2025-12-03 17:42:52 | step 2650/20000 | loss 0.5283
2025-12-03 17:42:57 | step 2700/20000 | loss 0.4460
2025-12-03 17:43:02 | step 2750/20000 | loss 0.5445
2025-12-03 17:43:07 | step 2800/20000 | loss 0.3833
2025-12-03 17:43:12 | step 2850/20000 | loss 0.2422
2025-12-03 17:43:18 | step 2900/20000 | loss 0.2215
2025-12-03 17:43:23 | step 2950/20000 | loss 0.3331
2025-12-03 17:43:28 | step 3000/20000 | loss 0.3776
2025-12-03 17:43:28 | [SAVE] unet_step3000.pt + numeric_enc_step3000.pt
2025-12-03 17:43:33 | step 3050/20000 | loss 0.2468
2025-12-03 17:43:39 | step 3100/20000 | loss 0.7001
2025-12-03 17:43:44 | step 3150/20000 | loss 0.5409
2025-12-03 17:43:49 | step 3200/20000 | loss 0.4356
2025-12-03 17:43:54 | step 3250/20000 | loss 0.4099
2025-12-03 17:43:59 | step 3300/20000 | loss 0.4327
2025-12-03 17:44:05 | step 3350/20000 | loss 0.2292
2025-12-03 17:44:10 | step 3400/20000 | loss 0.6470
2025-12-03 17:44:15 | step 3450/20000 | loss 0.5214
2025-12-03 17:44:20 | step 3500/20000 | loss 0.5100
2025-12-03 17:44:25 | step 3550/20000 | loss 0.3759
2025-12-03 17:44:30 | step 3600/20000 | loss 0.3363
2025-12-03 17:44:36 | step 3650/20000 | loss 0.5143
2025-12-03 17:44:41 | step 3700/20000 | loss 0.3708
2025-12-03 17:44:46 | step 3750/20000 | loss 0.3529
2025-12-03 17:44:51 | step 3800/20000 | loss 0.2748
2025-12-03 17:44:56 | step 3850/20000 | loss 0.4252
2025-12-03 17:45:01 | step 3900/20000 | loss 0.4002
2025-12-03 17:45:06 | step 3950/20000 | loss 0.7900
2025-12-03 17:45:12 | step 4000/20000 | loss 0.2348
2025-12-03 17:45:12 | [SAVE] unet_step4000.pt + numeric_enc_step4000.pt
2025-12-03 17:45:18 | step 4050/20000 | loss 0.4527
2025-12-03 17:45:23 | step 4100/20000 | loss 0.4505
2025-12-03 17:45:28 | step 4150/20000 | loss 0.4365
2025-12-03 17:45:33 | step 4200/20000 | loss 0.7062
2025-12-03 17:45:38 | step 4250/20000 | loss 0.5542
2025-12-03 17:45:43 | step 4300/20000 | loss 0.1672
2025-12-03 17:45:48 | step 4350/20000 | loss 0.1941
2025-12-03 17:45:53 | step 4400/20000 | loss 0.5041
2025-12-03 17:45:59 | step 4450/20000 | loss 0.1931
2025-12-03 17:46:04 | step 4500/20000 | loss 0.1931
2025-12-03 17:46:09 | step 4550/20000 | loss 0.4725
