filename,black_pixels,white_pixels
binary_labels_mask_case_id_TCGA-BC-A69I_0_1_cell_expansion_7_0_threshold_0_5.png,101052,161092
binary_labels_mask_case_id_TCGA-BC-A69I_0_1_cell_expansion_9_0_threshold_0_4.png,82901,179243
binary_labels_mask_case_id_TCGA-BC-A69I_0_2_cell_expansion_9_0_threshold_0_7.png,163796,98348
binary_labels_mask_case_id_TCGA-BC-A69I_0_3_cell_expansion_13_0_threshold_0_4.png,72076,190068
binary_labels_mask_case_id_TCGA-BC-A69I_1_0_cell_expansion_7_0_threshold_0_6.png,109796,152348
binary_labels_mask_case_id_TCGA-BC-A69I_1_4_cell_expansion_7_0_threshold_0_5.png,108722,153422
binary_labels_mask_case_id_TCGA-BC-A69I_2_3_cell_expansion_11_0_threshold_0_8.png,144502,117642
binary_labels_mask_case_id_TCGA-BC-A69I_2_3_cell_expansion_7_0_threshold_0_6.png,105328,156816
binary_labels_mask_case_id_TCGA-BC-A69I_3_1_cell_expansion_15_0_threshold_0_5.png,77683,184461
binary_labels_mask_case_id_TCGA-BC-A69I_3_1_cell_expansion_5_0_threshold_0_8.png,199875,62269
binary_labels_mask_case_id_TCGA-BC-A69I_3_3_cell_expansion_13_0_threshold_0_5.png,66095,196049
binary_labels_mask_case_id_TCGA-BC-A69I_3_3_cell_expansion_13_0_threshold_0_6.png,74768,187376
binary_labels_mask_case_id_TCGA-BC-A69I_4_2_cell_expansion_3_0_threshold_0_7.png,202736,59408
binary_labels_mask_case_id_TCGA-BC-A69I_4_4_cell_expansion_11_0_threshold_0_6.png,66571,195573
binary_labels_mask_case_id_TCGA-CC-5261_0_0_cell_expansion_1_0_threshold_0_4.png,178179,83965
binary_labels_mask_case_id_TCGA-CC-5261_0_0_cell_expansion_3_0_threshold_0_6.png,131716,130428
binary_labels_mask_case_id_TCGA-CC-5261_0_2_cell_expansion_5_0_threshold_0_5.png,107417,154727
binary_labels_mask_case_id_TCGA-CC-5261_0_4_cell_expansion_1_0_threshold_0_5.png,196770,65374
binary_labels_mask_case_id_TCGA-CC-5261_0_4_cell_expansion_9_0_threshold_0_7.png,98453,163691
binary_labels_mask_case_id_TCGA-CC-5261_1_1_cell_expansion_13_0_threshold_0_6.png,137773,124371
binary_labels_mask_case_id_TCGA-CC-5261_1_1_cell_expansion_13_0_threshold_0_7.png,145366,116778
binary_labels_mask_case_id_TCGA-CC-5261_1_1_cell_expansion_5_0_threshold_0_6.png,159476,102668
binary_labels_mask_case_id_TCGA-CC-5261_1_3_cell_expansion_5_0_threshold_0_4.png,76595,185549
binary_labels_mask_case_id_TCGA-CC-5261_1_4_cell_expansion_15_0_threshold_0_6.png,67231,194913
binary_labels_mask_case_id_TCGA-CC-5261_2_2_cell_expansion_15_0_threshold_0_7.png,40934,221210
binary_labels_mask_case_id_TCGA-CC-5261_2_3_cell_expansion_11_0_threshold_0_4.png,34107,228037
binary_labels_mask_case_id_TCGA-CC-5261_3_1_cell_expansion_15_0_threshold_0_7.png,62686,199458
binary_labels_mask_case_id_TCGA-CC-5261_3_1_cell_expansion_15_0_threshold_0_8.png,118568,143576
binary_labels_mask_case_id_TCGA-CC-5261_3_1_cell_expansion_5_0_threshold_0_6.png,70467,191677
binary_labels_mask_case_id_TCGA-CC-5261_3_2_cell_expansion_3_0_threshold_0_7.png,155129,107015
binary_labels_mask_case_id_TCGA-CC-5261_3_2_cell_expansion_9_0_threshold_0_6.png,51147,210997
binary_labels_mask_case_id_TCGA-CC-5261_4_1_cell_expansion_15_0_threshold_0_8.png,156261,105883
binary_labels_mask_case_id_TCGA-CC-5261_4_1_cell_expansion_9_0_threshold_0_4.png,29092,233052
binary_labels_mask_case_id_TCGA-CC-5261_4_2_cell_expansion_11_0_threshold_0_8.png,109454,152690
binary_labels_mask_case_id_TCGA-CC-5261_4_2_cell_expansion_15_0_threshold_0_7.png,58971,203173
binary_labels_mask_case_id_TCGA-CC-5261_4_4_cell_expansion_13_0_threshold_0_8.png,84820,177324
binary_labels_mask_case_id_TCGA-CC-A1HT_0_0_cell_expansion_1_0_threshold_0_4.png,211570,50574
binary_labels_mask_case_id_TCGA-CC-A1HT_0_0_cell_expansion_5_0_threshold_0_8.png,262144,0
binary_labels_mask_case_id_TCGA-CC-A1HT_0_1_cell_expansion_5_0_threshold_0_6.png,87141,175003
binary_labels_mask_case_id_TCGA-CC-A1HT_0_2_cell_expansion_11_0_threshold_0_7.png,195733,66411
binary_labels_mask_case_id_TCGA-CC-A1HT_0_3_cell_expansion_13_0_threshold_0_8.png,168612,93532
binary_labels_mask_case_id_TCGA-CC-A1HT_0_3_cell_expansion_7_0_threshold_0_6.png,82268,179876
binary_labels_mask_case_id_TCGA-CC-A1HT_0_4_cell_expansion_1_0_threshold_0_7.png,230669,31475
binary_labels_mask_case_id_TCGA-CC-A1HT_0_4_cell_expansion_3_0_threshold_0_8.png,254218,7926
binary_labels_mask_case_id_TCGA-CC-A1HT_0_4_cell_expansion_5_0_threshold_0_6.png,104370,157774
binary_labels_mask_case_id_TCGA-CC-A1HT_1_1_cell_expansion_11_0_threshold_0_6.png,124984,137160
binary_labels_mask_case_id_TCGA-CC-A1HT_1_2_cell_expansion_3_0_threshold_0_7.png,196550,65594
binary_labels_mask_case_id_TCGA-CC-A1HT_1_4_cell_expansion_13_0_threshold_0_5.png,106675,155469
binary_labels_mask_case_id_TCGA-CC-A1HT_2_0_cell_expansion_9_0_threshold_0_8.png,258551,3593
binary_labels_mask_case_id_TCGA-CC-A1HT_2_1_cell_expansion_7_0_threshold_0_8.png,207768,54376
binary_labels_mask_case_id_TCGA-CC-A1HT_3_0_cell_expansion_3_0_threshold_0_5.png,124563,137581
binary_labels_mask_case_id_TCGA-CC-A1HT_3_1_cell_expansion_7_0_threshold_0_7.png,200816,61328
binary_labels_mask_case_id_TCGA-CC-A1HT_3_4_cell_expansion_9_0_threshold_0_6.png,50993,211151
binary_labels_mask_case_id_TCGA-CC-A1HT_4_1_cell_expansion_7_0_threshold_0_6.png,56661,205483
binary_labels_mask_case_id_TCGA-CC-A1HT_4_2_cell_expansion_15_0_threshold_0_4.png,36648,225496
binary_labels_mask_case_id_TCGA-CC-A1HT_4_3_cell_expansion_15_0_threshold_0_4.png,25632,236512
binary_labels_mask_case_id_TCGA-CC-A1HT_4_4_cell_expansion_9_0_threshold_0_6.png,109930,152214
