filename,black_pixels,white_pixels
binary_labels_mask_case_id_TCGA-BC-A69I_0_1_cell_expansion_7_0_threshold_0_5.png,40219,25317
binary_labels_mask_case_id_TCGA-BC-A69I_0_1_cell_expansion_7_0_threshold_0_5-7bf2.png,40219,25317
binary_labels_mask_case_id_TCGA-BC-A69I_0_1_cell_expansion_9_0_threshold_0_4.png,49075,16461
binary_labels_mask_case_id_TCGA-BC-A69I_0_1_cell_expansion_9_0_threshold_0_4-99ba.png,49075,16461
binary_labels_mask_case_id_TCGA-BC-A69I_0_2_cell_expansion_9_0_threshold_0_7.png,45616,19920
binary_labels_mask_case_id_TCGA-BC-A69I_0_2_cell_expansion_9_0_threshold_0_7-7e52.png,45616,19920
binary_labels_mask_case_id_TCGA-BC-A69I_0_3_cell_expansion_13_0_threshold_0_4.png,45618,19918
binary_labels_mask_case_id_TCGA-BC-A69I_0_3_cell_expansion_13_0_threshold_0_4-886f.png,45618,19918
binary_labels_mask_case_id_TCGA-BC-A69I_1_0_cell_expansion_7_0_threshold_0_6.png,45615,19921
binary_labels_mask_case_id_TCGA-BC-A69I_1_0_cell_expansion_7_0_threshold_0_6-15d7.png,45615,19921
binary_labels_mask_case_id_TCGA-BC-A69I_1_4_cell_expansion_7_0_threshold_0_5.png,45618,19918
binary_labels_mask_case_id_TCGA-BC-A69I_1_4_cell_expansion_7_0_threshold_0_5-af8e.png,45618,19918
binary_labels_mask_case_id_TCGA-BC-A69I_2_3_cell_expansion_11_0_threshold_0_8.png,49076,16460
binary_labels_mask_case_id_TCGA-BC-A69I_2_3_cell_expansion_11_0_threshold_0_8-7844.png,49076,16460
binary_labels_mask_case_id_TCGA-BC-A69I_2_3_cell_expansion_7_0_threshold_0_6.png,45617,19919
binary_labels_mask_case_id_TCGA-BC-A69I_2_3_cell_expansion_7_0_threshold_0_6-a738.png,45617,19919
binary_labels_mask_case_id_TCGA-BC-A69I_3_1_cell_expansion_15_0_threshold_0_5.png,45617,19919
binary_labels_mask_case_id_TCGA-BC-A69I_3_1_cell_expansion_15_0_threshold_0_5-b078.png,45617,19919
binary_labels_mask_case_id_TCGA-BC-A69I_3_1_cell_expansion_5_0_threshold_0_8.png,49077,16459
binary_labels_mask_case_id_TCGA-BC-A69I_3_1_cell_expansion_5_0_threshold_0_8-c010.png,49077,16459
binary_labels_mask_case_id_TCGA-BC-A69I_3_3_cell_expansion_13_0_threshold_0_5.png,49076,16460
