[INFO] trainable params in LoRA: 1594368
step 50/5000 | loss 0.0416
step 100/5000 | loss 0.0437
step 150/5000 | loss 0.0225
step 200/5000 | loss 0.0034
step 250/5000 | loss 0.0264
step 300/5000 | loss 0.0235
step 350/5000 | loss 0.0170
step 400/5000 | loss 0.0073
step 450/5000 | loss 0.0406
step 500/5000 | loss 0.0561
step 550/5000 | loss 0.0464
step 600/5000 | loss 0.0628
step 650/5000 | loss 0.0326
step 700/5000 | loss 0.1384
step 750/5000 | loss 0.0354
step 800/5000 | loss 0.0461
step 850/5000 | loss 0.0164
step 900/5000 | loss 0.0887
step 950/5000 | loss 0.0081
step 1000/5000 | loss 0.0871
step 1050/5000 | loss 0.0394
step 1100/5000 | loss 0.0114
step 1150/5000 | loss 0.1073
step 1200/5000 | loss 0.0232
step 1250/5000 | loss 0.0673
step 1300/5000 | loss 0.0388
step 1350/5000 | loss 0.0790
step 1400/5000 | loss 0.0885
step 1450/5000 | loss 0.0579
step 1500/5000 | loss 0.0657
step 1550/5000 | loss 0.0533
step 1600/5000 | loss 0.1305
step 1650/5000 | loss 0.0231
step 1700/5000 | loss 0.1165
step 1750/5000 | loss 0.0081
step 1800/5000 | loss 0.0634
step 1850/5000 | loss 0.0995
step 1900/5000 | loss 0.0309
step 1950/5000 | loss 0.0190
step 2000/5000 | loss 0.0269
step 2050/5000 | loss 0.0402
step 2100/5000 | loss 0.0078
step 2150/5000 | loss 0.0721
step 2200/5000 | loss 0.0084
step 2250/5000 | loss 0.0140
step 2300/5000 | loss 0.0146
step 2350/5000 | loss 0.0888
step 2400/5000 | loss 0.0257
step 2450/5000 | loss 0.0405
step 2500/5000 | loss 0.0485
step 2550/5000 | loss 0.0766
step 2600/5000 | loss 0.0290
step 2650/5000 | loss 0.0273
step 2700/5000 | loss 0.0723
step 2750/5000 | loss 0.0632
step 2800/5000 | loss 0.0427
step 2850/5000 | loss 0.0429
step 2900/5000 | loss 0.0584
step 2950/5000 | loss 0.0335
step 3000/5000 | loss 0.0237
step 3050/5000 | loss 0.0509
step 3100/5000 | loss 0.1730
step 3150/5000 | loss 0.0249
step 3200/5000 | loss 0.0660
step 3250/5000 | loss 0.1986
step 3300/5000 | loss 0.0598
step 3350/5000 | loss 0.0169
step 3400/5000 | loss 0.1197
step 3450/5000 | loss 0.0643
step 3500/5000 | loss 0.0499
step 3550/5000 | loss 0.0338
step 3600/5000 | loss 0.0163
step 3650/5000 | loss 0.2852
step 3700/5000 | loss 0.1316
step 3750/5000 | loss 0.0363
step 3800/5000 | loss 0.0139
step 3850/5000 | loss 0.0373
step 3900/5000 | loss 0.0201
step 3950/5000 | loss 0.0710
step 4000/5000 | loss 0.0355
step 4050/5000 | loss 0.0297
step 4100/5000 | loss 0.0669
step 4150/5000 | loss 0.0924
step 4200/5000 | loss 0.1006
step 4250/5000 | loss 0.0817
step 4300/5000 | loss 0.0090
step 4350/5000 | loss 0.0220
step 4400/5000 | loss 0.0327
step 4450/5000 | loss 0.0102
step 4500/5000 | loss 0.0349
step 4550/5000 | loss 0.0921
step 4600/5000 | loss 0.0900
step 4650/5000 | loss 0.0136
step 4700/5000 | loss 0.0479
step 4750/5000 | loss 0.0431
step 4800/5000 | loss 0.0281
step 4850/5000 | loss 0.0673
step 4900/5000 | loss 0.0268
step 4950/5000 | loss 0.0266
step 5000/5000 | loss 0.0421
[OK] LoRA saved to /workspace/lora_out_minimal
